,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.10328936542122119,0.17459763020329913,0.1859756989669628,0.09573023645468516,0.13316046139198495,0.21623688698092297,-0.0015019773405146573,0.07810787627463983,0.03636751429883401,0.17157407468191332,0.12909787760645833
Which picture best describes the relationship between Pepper and your country? ,0.10328936542122119,1.0,0.7952827249238066,0.6580211107958653,0.5041616110971003,0.4073957191568804,0.3960101212219831,0.6153818693026306,0.5324147283037487,0.5501361335850558,0.8918802953204955,0.6614242458329074
Which picture best describes the relationship between Pepper and your national culture? ,0.17459763020329913,0.7952827249238066,1.0,0.7728494588674455,0.7725352708794575,0.45410217317985,0.5763289709874478,0.6312935282287617,0.5979360460437904,0.7511279921267124,0.9402821336799736,0.7762637053593103
Which picture best describes the relationship between Pepper and your own preferences? ,0.1859756989669628,0.6580211107958653,0.7728494588674455,1.0,0.7088569910194338,0.36558581295524845,0.4655014008606617,0.6169655483430886,0.5323451487707729,0.7505649568772664,0.8973547336378148,0.7086660508600903
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.09573023645468516,0.5041616110971003,0.7725352708794575,0.7088569910194338,1.0,0.6339248903301513,0.7325889185910275,0.6681992019059546,0.6285619318848131,0.8186806024014446,0.7314236569519318,0.8437644740815489
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.13316046139198495,0.4073957191568804,0.45410217317985,0.36558581295524845,0.6339248903301513,1.0,0.8534143588035592,0.6145977706112788,0.6247224001444373,0.6005479092909296,0.4486638854305386,0.8510419949688761
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.21623688698092297,0.3960101212219831,0.5763289709874478,0.4655014008606617,0.7325889185910275,0.8534143588035592,1.0,0.4707624545576732,0.6501104446517458,0.6491625394951044,0.5280794787644504,0.8511332771992542
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.0015019773405146573,0.6153818693026306,0.6312935282287617,0.6169655483430886,0.6681992019059546,0.6145977706112788,0.4707624545576732,1.0,0.510147980309499,0.7805885205133296,0.6827337272316052,0.8079045245072847
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.07810787627463983,0.5324147283037487,0.5979360460437904,0.5323451487707729,0.6285619318848131,0.6247224001444373,0.6501104446517458,0.510147980309499,1.0,0.6057542961827176,0.6090770022619926,0.8003252684764924
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.03636751429883401,0.5501361335850558,0.7511279921267124,0.7505649568772664,0.8186806024014446,0.6005479092909296,0.6491625394951044,0.7805885205133296,0.6057542961827176,1.0,0.755631899480503,0.8749650909466
mean_cultural_closeness,0.17157407468191332,0.8918802953204955,0.9402821336799736,0.8973547336378148,0.7314236569519318,0.4486638854305386,0.5280794787644504,0.6827337272316052,0.6090770022619926,0.755631899480503,1.0,0.7871957788873102
mean_competence,0.12909787760645833,0.6614242458329074,0.7762637053593103,0.7086660508600903,0.8437644740815489,0.8510419949688761,0.8511332771992542,0.8079045245072847,0.8003252684764924,0.8749650909466,0.7871957788873102,1.0
