,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.24761950096067004,0.10578780871758832,0.18926153748388058,0.1666810960564748,0.2298368852414519,0.16237105959955764,0.3577692170548322,0.26856477788358346,0.27946271661306926,0.20229181057738016,0.3107788817933412
Which picture best describes the relationship between Pepper and your country? ,0.24761950096067004,1.0,0.9077612865517483,0.5759345869216479,0.2541791027153516,0.12109951166524303,0.2259420134637131,0.2898804567914427,0.3749826424144127,0.2651741336488082,0.9322012161654079,0.4064840815816008
Which picture best describes the relationship between Pepper and your national culture? ,0.10578780871758832,0.9077612865517483,1.0,0.5721881864371778,0.3772743511658228,0.2766226106963663,0.3488703036684494,0.39380618324643574,0.43349030078993733,0.2979282771429527,0.9320928788622794,0.5113940311635792
Which picture best describes the relationship between Pepper and your own preferences? ,0.18926153748388058,0.5759345869216479,0.5721881864371778,1.0,0.5728789552580074,0.4546467920396701,0.5073833362113083,0.6015224854915486,0.49746397200717485,0.4960620448964552,0.80244880150179,0.6710034943847558
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.1666810960564748,0.2541791027153516,0.3772743511658228,0.5728789552580074,1.0,0.7564598465570264,0.6609884556613994,0.7325275452183824,0.6880835413222536,0.8493494159222529,0.45064727225292767,0.8734947526115102
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.2298368852414519,0.12109951166524303,0.2766226106963663,0.4546467920396701,0.7564598465570264,1.0,0.7651365715133565,0.6540233076491109,0.6270328610347021,0.6267533148416282,0.31899482479246305,0.8567029055813542
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.16237105959955764,0.2259420134637131,0.3488703036684494,0.5073833362113083,0.6609884556613994,0.7651365715133565,1.0,0.4879893830152804,0.5974550797347417,0.5515475939036284,0.4050939474099839,0.8097270055886798
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.3577692170548322,0.2898804567914427,0.39380618324643574,0.6015224854915486,0.7325275452183824,0.6540233076491109,0.4879893830152804,1.0,0.5923370086817249,0.7130638112221652,0.480805682150168,0.8185621748072399
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.26856477788358346,0.3749826424144127,0.43349030078993733,0.49746397200717485,0.6880835413222536,0.6270328610347021,0.5974550797347417,0.5923370086817249,1.0,0.7171526300266962,0.4892157533234244,0.8420565291853248
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.27946271661306926,0.2651741336488082,0.2979282771429527,0.4960620448964552,0.8493494159222529,0.6267533148416282,0.5515475939036284,0.7130638112221652,0.7171526300266962,1.0,0.3958726359380102,0.8469099000657101
mean_cultural_closeness,0.20229181057738016,0.9322012161654079,0.9320928788622794,0.80244880150179,0.45064727225292767,0.31899482479246305,0.4050939474099839,0.480805682150168,0.4892157533234244,0.3958726359380102,1.0,0.5948752930560539
mean_competence,0.3107788817933412,0.4064840815816008,0.5113940311635792,0.6710034943847558,0.8734947526115102,0.8567029055813542,0.8097270055886798,0.8185621748072399,0.8420565291853248,0.8469099000657101,0.5948752930560539,1.0
