,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.7442026547476628,0.5627000716571541,0.39789125818148136,0.36727731130060876,0.27544775649798975,0.6014108926696028,0.3711778518256621,0.44015007164789643,0.8628153463867182,0.5843423477132383
Which picture best describes the relationship between Pepper and your national culture? ,0.7442026547476628,1.0,0.6945659615904022,0.7831582819500121,0.46354668185572745,0.5379531299666926,0.6034529002664608,0.5550698152113034,0.7290977468003037,0.9200421480609027,0.7734774842504223
Which picture best describes the relationship between Pepper and your own preferences? ,0.5627000716571541,0.6945659615904022,1.0,0.6733039481747306,0.28162660314547333,0.32230801225926253,0.5835915106311252,0.4079786060042142,0.704678590138803,0.8629076059218674,0.6350942088750495
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.39789125818148136,0.7831582819500121,0.6733039481747306,1.0,0.578186500138568,0.6987852672979215,0.6071370579324847,0.5471039129588522,0.7983581988273225,0.7061692511547779,0.8141607453155587
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.36727731130060876,0.46354668185572745,0.28162660314547333,0.578186500138568,1.0,0.8706298275898341,0.5459357639745095,0.6516259896230546,0.5121293807994802,0.4182994803678593,0.8455080208566691
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.27544775649798975,0.5379531299666926,0.32230801225926253,0.6987852672979215,0.8706298275898341,1.0,0.3398203062497924,0.6438052977339925,0.536923343546263,0.42963863694673604,0.8097816915118315
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.6014108926696028,0.6034529002664608,0.5835915106311252,0.6071370579324847,0.5459357639745095,0.3398203062497924,1.0,0.5080505179906794,0.7247190134619346,0.6756663086862194,0.7769462953704914
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.3711778518256621,0.5550698152113034,0.4079786060042142,0.5471039129588522,0.6516259896230546,0.6438052977339925,0.5080505179906794,1.0,0.5859548061403905,0.5046799001990309,0.8027167010842238
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.44015007164789643,0.7290977468003037,0.704678590138803,0.7983581988273225,0.5121293807994802,0.536923343546263,0.7247190134619346,0.5859548061403905,1.0,0.7135974191129586,0.8366764383964427
mean_cultural_closeness,0.8628153463867182,0.9200421480609027,0.8629076059218674,0.7061692511547779,0.4182994803678593,0.42963863694673604,0.6756663086862194,0.5046799001990309,0.7135974191129586,1.0,0.7539832234079551
mean_competence,0.5843423477132383,0.7734774842504223,0.6350942088750495,0.8141607453155587,0.8455080208566691,0.8097816915118315,0.7769462953704914,0.8027167010842238,0.8366764383964427,0.7539832234079551,1.0
