Language,Prolific_ID
Deutsch,673b34b6779d92368ad35f57
Italiano,6648adee7d29687acc3a0912
Italiano,5e8df909e9fe6208d93321a9
Deutsch,63b6bfc861dd62d55125a428
Italiano,669bb61cbc7be494c80aab78
Italiano,5f0da6848c9769018bb99f27
Deutsch,58d4ebdec8677b0001a2107b
Deutsch,674066a20dd7ea932dfcd1ea
Deutsch,671df4409cc481032b4fd9fc
Italiano,5b3f242f9c2ec600014ef9fc
Italiano,66826c4a2d42c713e9c7475d
Italiano,58c62eac444ade00010231a9
Italiano,672f7b856c1ce6995a666bc6
Italiano,5ac4d774436f550001ffd6c1
Deutsch,5b0d0f0ebd9c3100015655d9
Italiano,5e9c3ff1cf719d151612648f
Italiano,64e218df1a2b314bcf5c6269
Italiano,60be9461f162e71cab759c78
Deutsch,680d588c03ed48387a03c442
Italiano,6097e36e99d6c893daf55676
Deutsch,67aa368415b94ae3e4391b29
Italiano,5a520774eedc3200014206b4
Deutsch,664a70b48ff64eb6fa5d8b05
Italiano,578b4394ad1a6c0001466a6d
Deutsch,66d07c4598239f725fa002b6
Deutsch,66c6f369443af2a09227ffc3
Deutsch,663cdadebd57d114ba72b4e1
Deutsch,67aa8150dff45fad8801d249
Italiano,60f0035abb0afb22cdb36884
Deutsch,633b2bff8b720f0f0e41f0fc
Deutsch,65e0bee6f886849136294ce0
Deutsch,5b648251bd56550001bf31fd
Italiano,5f53ee2e1b73b474acb3adf8
Deutsch,671fed50e69390f6b2370a67
Deutsch,67a941204a47fd12fb801074
Deutsch,67448b94aabb41a5a27f3bfa
