,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.9378408471299672,0.42640143271122083,0.37433593006153154,0.14266755664014205,0.03134965682110379,0.4411499388018706,0.3798551896629727,0.23770626666424163,0.9094555226334604,0.38709860099204274
Which picture best describes the relationship between Pepper and your national culture? ,0.9378408471299672,1.0,0.5531731864593841,0.4245467753377845,0.1994507056057476,0.23566373896503306,0.49028998478942937,0.45039515201099883,0.26359964815709497,0.9568035469391263,0.4825303773143279
Which picture best describes the relationship between Pepper and your own preferences? ,0.42640143271122083,0.5531731864593841,1.0,0.7537487242194211,0.5507573301073444,0.5800026463184483,0.739833807657778,0.438161000734257,0.5698588454561608,0.7478183719790344,0.722098477771697
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.37433593006153154,0.4245467753377845,0.7537487242194211,1.0,0.7358103856174693,0.6161034045199815,0.7812310590181641,0.7962832959826545,0.8957520972263473,0.5868569531765834,0.9099683639488523
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.14266755664014205,0.1994507056057476,0.5507573301073444,0.7358103856174693,1.0,0.7288647161764781,0.6443203326069729,0.7795229863265042,0.6889776192105466,0.33495432677640824,0.8821291021119945
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.03134965682110379,0.23566373896503306,0.5800026463184483,0.6161034045199815,0.7288647161764781,1.0,0.47003926599519913,0.5903356044850779,0.5082270740990142,0.31760480926004986,0.7625322328544476
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.4411499388018706,0.49028998478942937,0.739833807657778,0.7812310590181641,0.6443203326069729,0.47003926599519913,1.0,0.596159183851395,0.707877522414403,0.6333408848536223,0.8220624384910032
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.3798551896629727,0.45039515201099883,0.438161000734257,0.7962832959826545,0.7795229863265042,0.5903356044850779,0.596159183851395,1.0,0.8228388157761756,0.483836055217886,0.8928525726201
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.23770626666424163,0.26359964815709497,0.5698588454561608,0.8957520972263473,0.6889776192105466,0.5082270740990142,0.707877522414403,0.8228388157761756,1.0,0.4036336231827568,0.8654350306543646
mean_cultural_closeness,0.9094555226334604,0.9568035469391263,0.7478183719790344,0.5868569531765834,0.33495432677640824,0.31760480926004986,0.6333408848536223,0.483836055217886,0.4036336231827568,1.0,0.6031754449554579
mean_competence,0.38709860099204274,0.4825303773143279,0.722098477771697,0.9099683639488523,0.8821291021119945,0.7625322328544476,0.8220624384910032,0.8928525726201,0.8654350306543646,0.6031754449554579,1.0
