dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
mean_cultural_closeness,rm_anova,,,7.891784386617117,0.0005788333711944306,,67,3,
mean_cultural_closeness,paired_ttest,A,B,-0.6896730338670465,0.492817688785142,1.0,67,3,
mean_cultural_closeness,paired_ttest,A,F,-4.372249085938877,4.4614821174065375e-05,0.00013384446352219612,67,3,
mean_cultural_closeness,paired_ttest,B,F,-2.6909551680004946,0.009017003962479066,0.0270510118874372,67,3,
mean_cultural_closeness,wilcoxon,A,B,,0.3311959048014813,0.9935877144044439,67,3,
mean_cultural_closeness,wilcoxon,A,F,,5.3341821736076614e-05,0.00016002546520822985,67,3,
mean_cultural_closeness,wilcoxon,B,F,,0.01842940698880339,0.055288220966410166,67,3,
mean_competence,rm_anova,,,10.760490436603389,4.686070834970637e-05,,67,3,
mean_competence,paired_ttest,A,B,-4.219486681083624,7.637450499745538e-05,0.00022912351499236613,67,3,
mean_competence,paired_ttest,A,F,-3.14578920891516,0.002484428457478226,0.007453285372434679,67,3,
mean_competence,paired_ttest,B,F,1.5799659524395122,0.11889572205756957,0.3566871661727087,67,3,
mean_competence,wilcoxon,A,B,,0.00016062091863361735,0.00048186275590085206,67,3,
mean_competence,wilcoxon,A,F,,0.0013711028032658342,0.004113308409797503,67,3,
mean_competence,wilcoxon,B,F,,0.06837870523675102,0.20513611571025306,67,3,
Which picture best describes the relationship between Pepper and your country? ,rm_anova,,,7.6769759450171815,0.0007014576750759513,,67,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,B,0.8767931214028943,0.3837793181485851,1.0,67,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,F,-3.314511617289416,0.0014938144418593189,0.004481443325577957,67,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,B,F,-3.461229749134368,0.0009478224761449781,0.0028434674284349344,67,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,B,,0.37268373934193666,1.0,67,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,F,,0.0021504033063048174,0.006451209918914453,67,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,B,F,,0.001057577488450155,0.003172732465350465,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,rm_anova,,,4.154784907962983,0.017787631143865626,,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,B,0.4805861482738073,0.6323998860362794,1.0,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,F,-2.5250837420156222,0.013977489114170093,0.04193246734251028,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,B,F,-2.530800678970455,0.013771970133206213,0.04131591039961864,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,wilcoxon,A,B,,0.73894485625955,1.0,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,wilcoxon,A,F,,0.013019606873860041,0.03905882062158012,67,3,
Which picture best describes the relationship between Pepper and your national culture? ,wilcoxon,B,F,,0.015090981220040267,0.0452729436601208,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,rm_anova,,,6.248999264765953,0.0025526929072059766,,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,B,-2.58605548167273,0.011921885452067777,0.03576565635620333,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,F,-3.7369866940862173,0.0003912229645362747,0.001173668893608824,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,B,F,-0.5951612113283926,0.5537709393506358,1.0,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,A,B,,0.014801084772310071,0.044403254316930214,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,A,F,,0.0006172126445260692,0.0018516379335782077,67,3,
Which picture best describes the relationship between Pepper and your own preferences? ,wilcoxon,B,F,,0.6090240060656056,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.629727420983145,0.0018044647585483417,,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2232822857433225,0.001970634486340005,0.005911903459020014,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.062389972345916,0.003175879088354146,0.009527637265062438,67,3,
