dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
mean_cultural_closeness,rm_anova,,,2.003033367037413,0.17177670266345413,,8,3,
mean_cultural_closeness,paired_ttest,A,B,-0.6831300510639735,0.5164895523012261,1.0,8,3,
mean_cultural_closeness,paired_ttest,A,F,-2.2237817967264815,0.06153289049492335,0.18459867148477005,8,3,
mean_cultural_closeness,paired_ttest,B,F,-1.1296723661311854,0.29583337712951885,0.8875001313885565,8,3,
mean_competence,rm_anova,,,1.7735009901418661,0.20581440794373976,,8,3,
mean_competence,paired_ttest,A,B,-1.679205085318691,0.13700512787574512,0.41101538362723533,8,3,
mean_competence,paired_ttest,A,F,-1.344020452762386,0.22086888426537588,0.6626066527961276,8,3,
mean_competence,paired_ttest,B,F,0.5419510519353113,0.604666379750006,1.0,8,3,
Which picture best describes the relationship between Pepper and your country? ,rm_anova,,,0.9432624113475178,0.41275648938588094,,8,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,B,0.6069769786668839,0.5630278036985401,1.0,8,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,F,-0.8143450710459553,0.44226551783486046,1.0,8,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,B,F,-1.2556180058348068,0.24954202298281297,0.748626068948439,8,3,
Which picture best describes the relationship between Pepper and your national culture? ,rm_anova,,,2.97260273972603,0.08395114924203893,,8,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,B,-0.42365927286816174,0.6845283355605284,1.0,8,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,F,-2.0493901531919194,0.07960201245519757,0.23880603736559272,8,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,B,F,-1.9296124624698994,0.09497649243577515,0.28492947730732543,8,3,
Which picture best describes the relationship between Pepper and your own preferences? ,rm_anova,,,1.6808510638297867,0.2216920625922384,,8,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,B,-1.10877891439348,0.3041607942465029,0.9124823827395087,8,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,F,-3.03488489333442,0.018983337096532594,0.056950011289597785,8,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,B,F,-0.4559833243433447,0.6622113009751999,1.0,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.6512968299711814,0.05295035373995266,,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.310623952712223,0.054137008790862244,0.16241102637258673,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-2.3080389999211954,0.05434357035828923,0.1630307110748677,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.6831300510639732,0.5164895523012262,1.0,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.6512968299711814,0.05295035373995266,,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.310623952712223,0.054137008790862244,0.16241102637258673,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-2.3080389999211954,0.05434357035828923,0.1630307110748677,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.6831300510639732,0.5164895523012262,1.0,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.6512968299711814,0.05295035373995266,,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.310623952712223,0.054137008790862244,0.16241102637258673,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-2.3080389999211954,0.05434357035828923,0.1630307110748677,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.6831300510639732,0.5164895523012262,1.0,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.6512968299711814,0.05295035373995266,,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.310623952712223,0.054137008790862244,0.16241102637258673,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-2.3080389999211954,0.05434357035828923,0.1630307110748677,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.6831300510639732,0.5164895523012262,1.0,8,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,3.6512968299711814,0.05295035373995266,,8,3,
