dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
mean_cultural_closeness,rm_anova,,,1.1539299610894922,0.3247545485889476,,23,3,
mean_cultural_closeness,paired_ttest,A,B,-0.6537918914149236,0.5200217951901671,1.0,23,3,
mean_cultural_closeness,paired_ttest,A,F,-1.5231357822567289,0.14197082133821876,0.42591246401465627,23,3,
mean_cultural_closeness,paired_ttest,B,F,-0.831774997487812,0.41447351910324814,1.0,23,3,
mean_competence,rm_anova,,,2.1083678686520635,0.13353870614631844,,23,3,
mean_competence,paired_ttest,A,B,-2.06480071896057,0.05092574198039747,0.15277722594119242,23,3,
mean_competence,paired_ttest,A,F,-0.6141008024990361,0.5454473917553588,1.0,23,3,
mean_competence,paired_ttest,B,F,1.3854308432033393,0.17980771878041324,0.5394231563412397,23,3,
Which picture best describes the relationship between Pepper and your country? ,rm_anova,,,0.6409989594172727,0.5316136377295937,,23,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,B,0.38490017945975047,0.704007257781891,1.0,23,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,F,-0.8475655413823616,0.4058067742210827,1.0,23,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,B,F,-0.9721663430545308,0.3415361112032189,1.0,23,3,
Which picture best describes the relationship between Pepper and your national culture? ,rm_anova,,,2.410050251256282,0.10157531124481357,,23,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,B,1.044638617546681,0.3075332105489073,0.922599631646722,23,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,F,-1.1941214033447043,0.2451473581857538,0.7354420745572614,23,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,B,F,-2.0832009090333226,0.049063936759959806,0.14719181027987943,23,3,
Which picture best describes the relationship between Pepper and your own preferences? ,rm_anova,,,2.3123123123123106,0.11094842113246818,,23,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,B,-2.1816542770602734,0.04010261152770747,0.12030783458312241,23,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,F,-1.4802820879011394,0.1529774926431731,0.4589324779295193,23,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,B,F,0.653974569207028,0.5199063012674751,1.0,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.53123933082964,0.0910898964094614,,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.1915679996362654,0.03928781088269372,0.11786343264808116,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.5234332735064136,0.14189674503747798,0.425690235112434,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.7935337960728824,0.4359425778385183,1.0,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.04259616736825569,0.12778850210476705,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.14773725622730302,0.44321176868190904,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.46150340335430695,1.0,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.53123933082964,0.0910898964094614,,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.1915679996362654,0.03928781088269372,0.11786343264808116,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.5234332735064136,0.14189674503747798,0.425690235112434,23,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.7935337960728824,0.4359425778385183,1.0,23,3,
