dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
mean_cultural_closeness,rm_anova,,,2.496536300660008,0.08928538443797185,,38,3,
mean_cultural_closeness,paired_ttest,A,B,0.2236067977499788,0.8242933256845137,1.0,38,3,
mean_cultural_closeness,paired_ttest,A,F,-2.091744161378201,0.043382086583027384,0.13014625974908214,38,3,
mean_cultural_closeness,paired_ttest,B,F,-1.8009588134534473,0.07986458952279403,0.2395937685683821,38,3,
mean_cultural_closeness,wilcoxon,A,B,,0.9843494372469807,1.0,38,3,
mean_cultural_closeness,wilcoxon,A,F,,0.03877360465200935,0.11632081395602806,38,3,
mean_cultural_closeness,wilcoxon,B,F,,0.09749720495100422,0.29249161485301267,38,3,
mean_competence,rm_anova,,,1.907907427229701,0.1556189412561298,,38,3,
mean_competence,paired_ttest,A,B,-1.7959607634770445,0.08067047888462735,0.24201143665388203,38,3,
mean_competence,paired_ttest,A,F,-1.41284877430219,0.1660574410957269,0.4981723232871807,38,3,
mean_competence,paired_ttest,B,F,0.5769738314326508,0.5674513253584854,1.0,38,3,
Which picture best describes the relationship between Pepper and your country? ,rm_anova,,,3.609490126731502,0.03193338311751887,,38,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,B,1.4034399320109388,0.168822943659379,0.506468830978137,38,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,A,F,-1.4649818066226965,0.1513722470700222,0.4541167412100666,38,3,
Which picture best describes the relationship between Pepper and your country? ,paired_ttest,B,F,-2.4187773862967177,0.02060892173516032,0.06182676520548096,38,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,B,,0.2307489322650711,0.6922467967952133,38,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,A,F,,0.2001666296157506,0.6004998888472518,38,3,
Which picture best describes the relationship between Pepper and your country? ,wilcoxon,B,F,,0.019627120302367983,0.05888136090710395,38,3,
Which picture best describes the relationship between Pepper and your national culture? ,rm_anova,,,2.06761346094474,0.13373317403102425,,38,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,B,1.3805496773620782,0.17570112524350168,0.527103375730505,38,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,A,F,-0.5846378243676107,0.5623395700536475,1.0,38,3,
Which picture best describes the relationship between Pepper and your national culture? ,paired_ttest,B,F,-1.863623181924194,0.07032571511666644,0.2109771453499993,38,3,
Which picture best describes the relationship between Pepper and your own preferences? ,rm_anova,,,2.7158142520864517,0.072747046939142,,38,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,B,-1.8570922741249283,0.07127224106916855,0.21381672320750564,38,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,A,F,-2.4724569719736014,0.018139494473089202,0.05441848341926761,38,3,
Which picture best describes the relationship between Pepper and your own preferences? ,paired_ttest,B,F,-0.1002033211180828,0.920723900726361,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.0147451526761833,0.14060447304402413,,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.0377563810265538,0.048772131995748355,0.14631639598724505,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.1494126224801386,0.2577617475699558,0.7732852427098673,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.877210009260394,0.386033000732378,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.03119316141836697,0.0935794842551009,38,3,
