,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.6030226891555273,0.7637936120564127,0.4401117438872064,0.5647824947249049,0.6142009630133342,0.7312470322826768,0.4418686839823541,0.6713848194274099,0.9088723513502605,0.7503633459985551
Which picture best describes the relationship between Pepper and your national culture? ,0.6030226891555273,1.0,0.5477225575051661,0.25301215685249495,0.6087807775281009,0.7726832945548974,0.6614378277661477,0.1628347368197324,0.39295262399668784,0.8038369524685004,0.6374004139648694
Which picture best describes the relationship between Pepper and your own preferences? ,0.7637936120564127,0.5477225575051661,1.0,-0.12259041190447607,0.15389675281277299,0.333442964427675,0.36228441865473604,0.31215890475554564,0.2869720215917757,0.8989042474890448,0.43297549989018386
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.4401117438872064,0.25301215685249495,-0.12259041190447607,1.0,0.798398516649148,0.7218397547786818,0.8238858408710995,0.6465100205036038,0.8871482883720722,0.20338052110179197,0.8125529619456207
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.5647824947249049,0.6087807775281009,0.15389675281277299,0.798398516649148,1.0,0.9078947368421052,0.8672905986208661,0.3660208899312016,0.8096744749700071,0.48936048492959305,0.8673770908935371
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.6142009630133342,0.7726832945548974,0.333442964427675,0.7218397547786818,0.9078947368421052,1.0,0.867290598620866,0.503278723655402,0.7728710897440977,0.6399329418310061,0.9103947806240873
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.7312470322826768,0.6614378277661477,0.36228441865473604,0.8238858408710995,0.8672905986208661,0.867290598620866,1.0,0.67700320038633,0.9406401658278406,0.6582805886043833,0.9754683909246987
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.4418686839823541,0.1628347368197324,0.31215890475554564,0.6465100205036038,0.3660208899312016,0.503278723655402,0.67700320038633,1.0,0.8043996665398437,0.3552798562032136,0.7356945237140786
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.6713848194274099,0.39295262399668784,0.2869720215917757,0.8871482883720722,0.8096744749700071,0.7728710897440977,0.9406401658278406,0.8043996665398437,1.0,0.5114083119567588,0.9527612558743072
mean_cultural_closeness,0.9088723513502605,0.8038369524685004,0.8989042474890448,0.20338052110179197,0.48936048492959305,0.6399329418310061,0.6582805886043833,0.3552798562032136,0.5114083119567588,1.0,0.6869220721231215
mean_competence,0.7503633459985551,0.6374004139648694,0.43297549989018386,0.8125529619456207,0.8673770908935371,0.9103947806240873,0.9754683909246987,0.7356945237140786,0.9527612558743072,0.6869220721231215,1.0
