,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.9654215840509556,0.3746343246326775,0.5842021352506859,0.5402078257018266,0.6232502388407514,0.17927719707289433,0.6750771560841521,0.36424639819288696,0.9428090415820632,0.6331112556023303
Which picture best describes the relationship between Pepper and your national culture? ,0.9654215840509556,1.0,0.3221213062222523,0.637112637037032,0.4366283398373973,0.6016992328417746,0.2368436823758187,0.7169074631217139,0.35165133472823207,0.9244302014814331,0.6237479239693581
Which picture best describes the relationship between Pepper and your own preferences? ,0.3746343246326775,0.3221213062222523,1.0,0.7295405746286961,0.9107117727439095,0.6901717263729007,0.6734013741493647,0.07587212233336049,0.6791946714028679,0.6457095240692088,0.7719805514319392
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.5842021352506859,0.637112637037032,0.7295405746286961,1.0,0.6980504492442937,0.847196515268961,0.8035740771184016,0.49078588663168987,0.8597718124511361,0.7649875767026307,0.9035126158727587
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.5402078257018266,0.4366283398373973,0.9107117727439095,0.6980504492442937,1.0,0.7074523012566111,0.6884786481822432,0.32566947363946486,0.7587869106393283,0.728435780881669,0.8664124457193586
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.6232502388407514,0.6016992328417746,0.6901717263729007,0.847196515268961,0.7074523012566111,1.0,0.6226693517333975,0.5939887041393643,0.8303710791159926,0.7517899786795584,0.8824931958676593
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.17927719707289433,0.2368436823758187,0.6734013741493647,0.8035740771184016,0.6884786481822432,0.6226693517333975,1.0,0.4280496416614501,0.9073412291761259,0.41366439732980853,0.846794286527171
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.6750771560841521,0.7169074631217139,0.07587212233336049,0.49078588663168987,0.32566947363946486,0.5939887041393643,0.4280496416614501,1.0,0.5364969220493451,0.600099198148979,0.654802718898143
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.36424639819288696,0.35165133472823207,0.6791946714028679,0.8597718124511361,0.7587869106393283,0.8303710791159926,0.9073412291761259,0.5364969220493451,1.0,0.538536841659474,0.9252578808019409
mean_cultural_closeness,0.9428090415820632,0.9244302014814331,0.6457095240692088,0.7649875767026307,0.728435780881669,0.7517899786795584,0.41366439732980853,0.600099198148979,0.538536841659474,1.0,0.7944141166080646
mean_competence,0.6331112556023303,0.6237479239693581,0.7719805514319392,0.9035126158727587,0.8664124457193586,0.8824931958676593,0.846794286527171,0.654802718898143,0.9252578808019409,0.7944141166080646,1.0
