,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.1410796170909889,0.06749641749889848,0.09908051654448688,0.12439377696840313,0.212459342431372,0.24722850465845786,0.29446493451976846,0.22027253072889902,0.1843476543280829,0.1138697368835842,0.26412267528912375
Which picture best describes the relationship between Pepper and your country? ,0.1410796170909889,1.0,0.8822038062598689,0.5744299539800903,0.2941351092502498,0.2516676951002815,0.2820821406350716,0.323406650516715,0.37844110250336893,0.3235747593682939,0.9110679760109184,0.4548023005573138
Which picture best describes the relationship between Pepper and your national culture? ,0.06749641749889848,0.8822038062598689,1.0,0.6529201381547987,0.38653571146455684,0.32043254493052886,0.4287931803470582,0.42236723029194223,0.4525657301146878,0.3509197194628124,0.9429201265194966,0.5494578086504157
Which picture best describes the relationship between Pepper and your own preferences? ,0.09908051654448688,0.5744299539800903,0.6529201381547987,1.0,0.5627098977872382,0.4597368903976827,0.5456611032200416,0.5662104702803068,0.5538021716764598,0.5088104529418415,0.8327660121377843,0.6761202403038414
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.12439377696840313,0.2941351092502498,0.38653571146455684,0.5627098977872382,1.0,0.8175040329166052,0.6403472190258376,0.834253369075122,0.7366988532217891,0.857261965152403,0.4653521379492033,0.8949992620313283
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.212459342431372,0.2516676951002815,0.32043254493052886,0.4597368903976827,0.8175040329166052,1.0,0.7241861629188439,0.7396340762666046,0.6543497028196573,0.6775945385118118,0.386032486514752,0.8717651940180579
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.24722850465845786,0.2820821406350716,0.4287931803470582,0.5456611032200416,0.6403472190258376,0.7241861629188439,1.0,0.5754037178312095,0.6006544762850772,0.5551708589684325,0.4704994769353061,0.8122449460713538
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.29446493451976846,0.323406650516715,0.42236723029194223,0.5662104702803068,0.834253369075122,0.7396340762666046,0.5754037178312095,1.0,0.6681073170791938,0.7780960633280435,0.4907475035833146,0.8695548784412336
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.22027253072889902,0.37844110250336893,0.4525657301146878,0.5538021716764598,0.7366988532217891,0.6543497028196573,0.6006544762850772,0.6681073170791938,1.0,0.7427906962378324,0.5172543135193937,0.8529940253105761
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.1843476543280829,0.3235747593682939,0.3509197194628124,0.5088104529418415,0.857261965152403,0.6775945385118118,0.5551708589684325,0.7780960633280435,0.7427906962378324,1.0,0.44205119909764834,0.8594256052411797
mean_cultural_closeness,0.1138697368835842,0.9110679760109184,0.9429201265194966,0.8327660121377843,0.4653521379492033,0.386032486514752,0.4704994769353061,0.4907475035833146,0.5172543135193937,0.44205119909764834,1.0,0.627741419916907
mean_competence,0.26412267528912375,0.4548023005573138,0.5494578086504157,0.6761202403038414,0.8949992620313283,0.8717651940180579,0.8122449460713538,0.8695548784412336,0.8529940253105761,0.8594256052411797,0.627741419916907,1.0
