,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.07771622624712007,-0.057354854702017434,0.1747696392086859,0.2337669468204813,0.25106691972038275,0.38883534814764986,0.03253693909207461,0.03688307548150763,0.1753804034252141,0.015255208463603925,0.20245361682803736
Which picture best describes the relationship between Pepper and your country? ,-0.07771622624712007,1.0,0.8509924968603032,0.6562890376795,0.6017954725184534,0.3864383667966723,0.43648538689202054,0.5012692016123232,0.3269516839594513,0.4159386406290023,0.9424751986665778,0.6070683789889547
Which picture best describes the relationship between Pepper and your national culture? ,-0.057354854702017434,0.8509924968603032,1.0,0.5278146768735563,0.6042499710072295,0.4028595349286812,0.3914702106687464,0.506783370342706,0.24820702816521223,0.4009691104892253,0.8947981660512342,0.5747723957350679
Which picture best describes the relationship between Pepper and your own preferences? ,0.1747696392086859,0.6562890376795,0.5278146768735563,1.0,0.6882454213304767,0.5984703783171724,0.5540311696631903,0.6844494153759816,0.37684638033502255,0.6531321914550817,0.8217070483842197,0.7604645771573211
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.2337669468204813,0.6017954725184534,0.6042499710072295,0.6882454213304767,1.0,0.6926820639879916,0.6560926927252972,0.7058163256581794,0.5541469292274495,0.7453458298392459,0.7126797715434389,0.8449202661753362
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.25106691972038275,0.3864383667966723,0.4028595349286812,0.5984703783171724,0.6926820639879916,1.0,0.6670149376215843,0.6471086774406323,0.3374272203081617,0.6876685458584124,0.5223082875146546,0.815375066937705
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.38883534814764986,0.43648538689202054,0.3914702106687464,0.5540311696631903,0.6560926927252972,0.6670149376215843,1.0,0.6019406688796246,0.45988224795580307,0.7180102162273209,0.5198995056101532,0.8460064569890289
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.03253693909207461,0.5012692016123232,0.506783370342706,0.6844494153759816,0.7058163256581794,0.6471086774406323,0.6019406688796246,1.0,0.30807034020793583,0.7610110424983533,0.6368857032617703,0.8327373249292205
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.03688307548150763,0.3269516839594513,0.24820702816521223,0.37684638033502255,0.5541469292274495,0.3374272203081617,0.45988224795580307,0.30807034020793583,1.0,0.6500054220613465,0.35800659295924264,0.6364331050250841
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.1753804034252141,0.4159386406290023,0.4009691104892253,0.6531321914550817,0.7453458298392459,0.6876685458584124,0.7180102162273209,0.7610110424983533,0.6500054220613465,1.0,0.5532181340086866,0.9149658590210972
mean_cultural_closeness,0.015255208463603925,0.9424751986665778,0.8947981660512342,0.8217070483842197,0.7126797715434389,0.5223082875146546,0.5198995056101532,0.6368857032617703,0.35800659295924264,0.5532181340086866,1.0,0.7307420737259804
mean_competence,0.20245361682803736,0.6070683789889547,0.5747723957350679,0.7604645771573211,0.8449202661753362,0.815375066937705,0.8460064569890289,0.8327373249292205,0.6364331050250841,0.9149658590210972,0.7307420737259804,1.0
