,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.7637266218970653,0.6509139737992217,0.48672019182611953,0.42025570178694793,0.3577523272826659,0.4047424282992882,0.47984868842903616,0.4445404971192073,0.8989563488475382,0.5705103007326254
Which picture best describes the relationship between Pepper and your national culture? ,0.7637266218970653,1.0,0.6659842709400996,0.4823422639191667,0.29829296655321824,0.28539490183972477,0.43157394454977704,0.43343791018375516,0.43820908357920646,0.9055573164806789,0.5231872609245997
Which picture best describes the relationship between Pepper and your own preferences? ,0.6509139737992217,0.6659842709400996,1.0,0.5431770990716849,0.46605086575047644,0.5083641423151096,0.44161614281376116,0.5357189659472891,0.5776564057580125,0.871366442969281,0.657830569664307
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.48672019182611953,0.4823422639191667,0.5431770990716849,1.0,0.7712997114008898,0.7316801861765507,0.8361268794620482,0.6608546966862917,0.776273386383712,0.5662623710878548,0.8789531795370144
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.42025570178694793,0.29829296655321824,0.46605086575047644,0.7712997114008898,1.0,0.7377813163886008,0.6662258571642704,0.5447434852368536,0.6707251508463703,0.4443002960211123,0.8336137932537282
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.3577523272826659,0.28539490183972477,0.5083641423151096,0.7316801861765507,0.7377813163886008,1.0,0.667806454362814,0.6806529847268078,0.7683351499765343,0.4332034819068584,0.8833577483010315
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.4047424282992882,0.43157394454977704,0.44161614281376116,0.8361268794620482,0.6662258571642704,0.667806454362814,1.0,0.5686142194290806,0.7882515218441528,0.4781830838381746,0.8466132438116342
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.47984868842903616,0.43343791018375516,0.5357189659472891,0.6608546966862917,0.5447434852368536,0.6806529847268078,0.5686142194290806,1.0,0.7089665660212355,0.542860120588272,0.8120903591857732
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.4445404971192073,0.43820908357920646,0.5776564057580125,0.776273386383712,0.6707251508463703,0.7683351499765343,0.7882515218441528,0.7089665660212355,1.0,0.5480406415718332,0.909452840677401
mean_cultural_closeness,0.8989563488475382,0.9055573164806789,0.871366442969281,0.5662623710878548,0.4443002960211123,0.4332034819068584,0.4781830838381746,0.542860120588272,0.5480406415718332,1.0,0.6564421175509177
mean_competence,0.5705103007326254,0.5231872609245997,0.657830569664307,0.8789531795370144,0.8336137932537282,0.8833577483010315,0.8466132438116342,0.8120903591857732,0.909452840677401,0.6564421175509177,1.0
