Informazioni cronologiche,Language/Lingua/Sprache: ,"I, the participant:","I, the participant:",Prolific ID,Which picture best describes your relationship with [country]?,Which picture best describes your relationship with [language]?,Which picture best describes your relationship with [culture]?,Rate how well the robot is keeping an appropriate distance from the human (1 is the worst and 5 is the best).,Rate how well the robot is keeping an appropriate distance from the human (1 is the worst and 5 is the best).,Rate how well the robot is keeping an appropriate distance from the human (1 is the worst and 5 is the best).,Rate how well the robot is keeping an appropriate distance from the human (1 is the worst and 5 is the best).,Rate how well the robot is keeping an appropriate distance from the human (1 is the worst and 5 is the best).,Rate how well the robot is keeping an appropriate distance from the human (1 is the worst and 5 is the best).,Rate how well the robot is keeping an appropriate distance from you (1 is the worst and 5 is the best). This is how you would see the robot from your perspective.,Rate how well the robot is keeping an appropriate distance from you (1 is the worst and 5 is the best). This is how you would see the robot from your perspective.,Rate how well the robot is keeping an appropriate distance from you (1 is the worst and 5 is the best). This is how you would see the robot from your perspective.,Rate how well the robot is keeping an appropriate distance from you (1 is the worst and 5 is the best). This is how you would see the robot from your perspective.,Rate how well the robot is keeping an appropriate distance from you (1 is the worst and 5 is the best). This is how you would see the robot from your perspective.,Rate how well the robot is keeping an appropriate distance from you (1 is the worst and 5 is the best). This is how you would see the robot from your perspective.,"Io, il partecipante:","Io, il partecipante:",Prolific ID,Quale immagine descrive meglio il tuo rapporto con [paese]?,Quale immagine descrive meglio il tuo rapporto con [lingua]?,Quale immagine descrive meglio il tuo rapporto con [cultura]?,"Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata dall'umano  (1 è il peggiore, 5 è il migliore).","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Valuta quanto bene il robot mantiene una distanza appropriata da te  (1 è il peggiore, 5 è il migliore). Così è come vedresti il robot dalla tua prospettiva.","Ich, teilnehmende Person:","Ich, teilnehmende Person:",Prolific ID,Welches Bild beschreibt Ihre Beziehung zu [Land] am besten?,Welches Bild beschreibt Ihre Beziehung zu [Sprache] am besten?,Welches Bild beschreibt Ihre Beziehung zu [Kultur] am besten?,"Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste).","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste).","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). ","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). ","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zum Menschen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt.","Bewerten Sie, wie gut der Roboter einen angemessenen Abstand zu Ihnen einhält (1 ist der Hammer, 5 ist der Beste). Das ist so, dass der Roboter Ihr Ziel verlässt."
05/08/2025 14.15.33,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich möchte nicht über die Ergebnisse dieser Umfrage informiert werden.,Ich bin mit der Teilnahme einverstanden.,673b34b6779d92368ad35f57,5,6,5,4,3,5,4,4,5,2,3,4,4,5,4
05/08/2025 14.15.38,Italiano,,,,,,,,,,,,,,,,,,,Voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,6648adee7d29687acc3a0912,5,5,5,5,2,2,2,4,5,1,2,3,4,5,5,,,,,,,,,,,,,,,,,,
05/08/2025 14.15.42,Italiano,,,,,,,,,,,,,,,,,,,Voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,5e8df909e9fe6208d93321a9,4,6,5,4,3,2,3,2,2,3,4,3,3,3,2,,,,,,,,,,,,,,,,,,
05/08/2025 14.15.51,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich möchte über die Ergebnisse dieser Umfrage informiert werden.,Ich bin mit der Teilnahme einverstanden.,63b6bfc861dd62d55125a428,5,7,6,3,4,5,3,2,1,4,5,3,2,2,1
05/08/2025 14.16.26,Italiano,,,,,,,,,,,,,,,,,,,Voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,669bb61cbc7be494c80aab78,2,4,3,4,3,3,5,5,2,4,5,3,2,1,1,,,,,,,,,,,,,,,,,,
05/08/2025 14.16.55,Italiano,,,,,,,,,,,,,,,,,,,Non voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,5f0da6848c9769018bb99f27,5,7,6,2,1,3,3,4,4,2,4,4,3,3,2,,,,,,,,,,,,,,,,,,
05/08/2025 14.17.00,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich möchte nicht über die Ergebnisse dieser Umfrage informiert werden.,Ich bin mit der Teilnahme einverstanden.,58d4ebdec8677b0001a2107b,5,7,4,2,1,3,5,4,2,2,3,4,5,4,3
05/08/2025 14.17.10,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich möchte über die Ergebnisse dieser Umfrage informiert werden.,Ich bin mit der Teilnahme einverstanden.,674066a20dd7ea932dfcd1ea,5,6,6,5,3,4,5,5,3,4,5,5,4,3,3
05/08/2025 14.17.57,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich möchte nicht über die Ergebnisse dieser Umfrage informiert werden.,Ich bin mit der Teilnahme einverstanden.,671df4409cc481032b4fd9fc,3,5,3,4,3,3,5,5,5,2,3,4,5,4,3
05/08/2025 14.18.15,English,I do not want to be informed of the results of this survey,I consent,5edd1cfb9a2ae09ff1250c9c,5,7,4,3,4,4,5,4,3,3,4,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2025 14.18.28,Italiano,,,,,,,,,,,,,,,,,,,Non voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,5b3f242f9c2ec600014ef9fc,2,2,3,4,3,3,4,5,5,2,2,3,5,4,4,,,,,,,,,,,,,,,,,,
05/08/2025 14.18.29,Italiano,,,,,,,,,,,,,,,,,,,Voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,66826c4a2d42c713e9c7475d,6,7,6,3,3,4,4,4,5,3,3,4,4,5,5,,,,,,,,,,,,,,,,,,
05/08/2025 14.18.31,Italiano,,,,,,,,,,,,,,,,,,,Non voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,58c62eac444ade00010231a9,5,6,6,4,5,5,4,4,3,5,4,4,3,3,2,,,,,,,,,,,,,,,,,,
05/08/2025 14.18.46,Italiano,,,,,,,,,,,,,,,,,,,Voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,672f7b856c1ce6995a666bc6,3,5,3,3,3,3,4,4,4,2,2,4,4,2,2,,,,,,,,,,,,,,,,,,
05/08/2025 14.18.47,Italiano,,,,,,,,,,,,,,,,,,,Non voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,5ac4d774436f550001ffd6c1,4,6,4,3,2,4,4,4,5,2,3,4,3,3,2,,,,,,,,,,,,,,,,,,
05/08/2025 14.19.28,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich möchte nicht über die Ergebnisse dieser Umfrage informiert werden.,Ich bin mit der Teilnahme einverstanden.,5b0d0f0ebd9c3100015655d9,3,7,3,3,3,4,5,5,4,1,2,3,3,4,4
05/08/2025 14.19.33,Italiano,,,,,,,,,,,,,,,,,,,Non voglio essere informato sui risultati di questo sondaggio.,Acconsento a partecipare.,5e9c3ff1cf719d151612648f,7,7,7,1,2,3,4,5,5,1,2,3,4,5,5,,,,,,,,,,,,,,,,,,
