,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.9941348467724342,0.8143450710459553,0.8603090020146066,0.819565285213464,0.7039619560036722,0.6496226361342332,0.8001498860254844,0.5139071413029479,0.9773756483025025,0.793970498922191
Which picture best describes the relationship between Pepper and your national culture? ,0.9941348467724342,1.0,0.7888106377466152,0.8333333333333333,0.7749655687357816,0.6470984341213211,0.6292532049656926,0.7500586006173493,0.4917225282373377,0.9682458365518541,0.7550220623300296
Which picture best describes the relationship between Pepper and your own preferences? ,0.8143450710459553,0.7888106377466152,1.0,0.9296696802013681,0.8913919995324731,0.7938841860374448,0.9344767269690313,0.9318553698829808,0.7665167802557528,0.9165151389911678,0.9464760084882159
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8603090020146066,0.8333333333333333,0.9296696802013681,1.0,0.8931005639698947,0.8610584002420805,0.8764598212022146,0.9281975182639696,0.8605144244153411,0.9198335447242614,0.9686894733701268
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.819565285213464,0.7749655687357816,0.8913919995324731,0.8931005639698947,1.0,0.9552168950362205,0.7263769695550852,0.9633480156428147,0.7094681185775829,0.8711463908540076,0.9516739174455255
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.7039619560036722,0.6470984341213211,0.7938841860374448,0.8610584002420805,0.9552168950362205,1.0,0.6839645360916135,0.937061306310618,0.7629786215477045,0.7518604376126322,0.935306024316876
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.6496226361342332,0.6292532049656926,0.9344767269690313,0.8764598212022146,0.7263769695550852,0.6839645360916135,1.0,0.8343875188697215,0.8324816996126458,0.7833494518006402,0.8821564064765585
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.8001498860254844,0.7500586006173493,0.9318553698829808,0.9281975182639696,0.9633480156428147,0.937061306310618,0.8343875188697215,1.0,0.7437884347004737,0.8714893406611902,0.9740833081318433
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.5139071413029479,0.4917225282373377,0.7665167802557528,0.8605144244153411,0.7094681185775829,0.7629786215477045,0.8324816996126458,0.7437884347004737,1.0,0.6277575981141524,0.8629261442169176
mean_cultural_closeness,0.9773756483025025,0.9682458365518541,0.9165151389911678,0.9198335447242614,0.8711463908540076,0.7518604376126322,0.7833494518006402,0.8714893406611902,0.6277575981141524,1.0,0.8772563620270148
mean_competence,0.793970498922191,0.7550220623300296,0.9464760084882159,0.9686894733701268,0.9516739174455255,0.935306024316876,0.8821564064765585,0.9740833081318433,0.8629261442169176,0.8772563620270148,1.0
