,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
unique,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.0,,5.8,6.6,6.2,3.6,4.8,2.8,2.8,4.2,4.4,2.0,4.4,3.6,4.0,0.72,0.74,0.6,0.64,0.5800000000000001,0.86,0.74,0.76,0.43999999999999995,0.7,0.42000000000000004,0.6599999999999999,0.6,0.32,5.466666666666667,3.372,-2.8,-1.6,0.8,-0.2,-3.6799999999999997,1.2082323232323233
std,0.0,,1.3038404810405297,0.8944271909999159,0.8366600265340756,1.140175425099138,0.44721359549995787,1.3038404810405297,1.3038404810405297,0.8366600265340756,0.5477225575051661,0.7071067811865476,0.8944271909999159,1.51657508881031,1.224744871391589,0.0836660026534076,0.20736441353327723,0.18708286933869708,0.3361547262794322,0.3346640106136302,0.0547722557505166,0.15165750888103105,0.23021728866442678,0.151657508881031,0.12247448713915893,0.29495762407505255,0.1816590212458495,0.12247448713915887,0.14832396974191325,0.29814239699997214,0.3515252480263687,0.8366600265340756,1.5165750888103102,2.7748873851023217,1.0954451150103321,0.5263078946776307,0.035161749823464386
min,0.0,,4.0,5.0,5.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,0.6,0.4,0.4,0.1,0.2,0.8,0.6,0.5,0.2,0.6,0.2,0.4,0.4,0.1,5.0,3.06,-4.0,-4.0,-4.0,-2.0,-4.3,1.168181818181818
25%,0.0,,5.0,7.0,6.0,3.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,0.7,0.7,0.5,0.6,0.3,0.8,0.6,0.6,0.4,0.6,0.2,0.6,0.6,0.3,5.333333333333333,3.07,-3.0,-2.0,1.0,0.0,-4.2,1.1736111111111112
50%,0.0,,6.0,7.0,6.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,0.7,0.8,0.6,0.7,0.6,0.9,0.7,0.7,0.5,0.7,0.3,0.7,0.6,0.3,5.666666666666667,3.28,-3.0,-1.0,2.0,0.0,-3.4,1.2202020202020203
75%,0.0,,7.0,7.0,7.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,0.8,0.9,0.6,0.8,0.8,0.9,0.9,1.0,0.5,0.7,0.5,0.7,0.7,0.4,5.666666666666667,3.5700000000000003,-2.0,-1.0,2.0,0.0,-3.3,1.235479797979798
max,0.0,,7.0,7.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0.8,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.6,0.9,0.9,0.9,0.7,0.5,5.666666666666667,3.88,-2.0,0.0,3.0,1.0,-3.2,1.2436868686868687
