,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.029456646387225734,0.04030984912973072,0.37953183030796905,0.06334909551631776,0.18043649516754745,0.3115696234424994,-0.07060987881136026,0.21514993148927186,0.3192221958204813,0.1687310189124809,0.23311440024053784
Which picture best describes the relationship between Pepper and your country? ,0.029456646387225734,1.0,0.787479018855912,0.6774585636925139,0.47587194441242053,0.3136141150693947,0.29823007304862503,0.5241424183609591,0.41997132529350983,0.21241704079324686,0.9100464759752326,0.5173747314913112
Which picture best describes the relationship between Pepper and your national culture? ,0.04030984912973072,0.787479018855912,1.0,0.6859374319733278,0.7480061672599463,0.32925294678374306,0.46337297287243606,0.5383523137182518,0.53109725734692,0.5094775833622247,0.9150199357195378,0.6428992978466092
Which picture best describes the relationship between Pepper and your own preferences? ,0.37953183030796905,0.6774585636925139,0.6859374319733278,1.0,0.5302157391996286,0.44115279767842985,0.49223085115010023,0.5935711294023818,0.5776874808189707,0.5543767657977693,0.8770640735660727,0.6984459868048977
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.06334909551631776,0.47587194441242053,0.7480061672599463,0.5302157391996286,1.0,0.7061597263034317,0.7115144524322924,0.6730252883319582,0.5941087449336744,0.7101845803194221,0.6498719592573075,0.8259721667233075
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.18043649516754745,0.3136141150693947,0.32925294678374306,0.44115279767842985,0.7061597263034317,1.0,0.7809973567508117,0.6127917400063478,0.7019323630193478,0.6000426712183172,0.40215155224018456,0.86018542942158
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.3115696234424994,0.29823007304862503,0.46337297287243606,0.49223085115010023,0.7115144524322924,0.7809973567508117,1.0,0.34736673714593735,0.7720691443852706,0.7191991689035738,0.4655778934848178,0.8567890009953049
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.07060987881136026,0.5241424183609591,0.5383523137182518,0.5935711294023818,0.6730252883319582,0.6127917400063478,0.34736673714593735,1.0,0.5179649895966975,0.6036200014581895,0.6134995495027232,0.7394932184593251
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.21514993148927186,0.41997132529350983,0.53109725734692,0.5776874808189707,0.5941087449336744,0.7019323630193478,0.7720691443852706,0.5179649895966975,1.0,0.7558749953452544,0.5670537275237082,0.8844910458433902
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.3192221958204813,0.21241704079324686,0.5094775833622247,0.5543767657977693,0.7101845803194221,0.6000426712183172,0.7191991689035738,0.6036200014581895,0.7558749953452544,1.0,0.4749993263575433,0.8480886300575969
mean_cultural_closeness,0.1687310189124809,0.9100464759752326,0.9150199357195378,0.8770640735660727,0.6498719592573075,0.40215155224018456,0.4655778934848178,0.6134995495027232,0.5670537275237082,0.4749993263575433,1.0,0.6893649409402318
mean_competence,0.23311440024053784,0.5173747314913112,0.6428992978466092,0.6984459868048977,0.8259721667233075,0.86018542942158,0.8567890009953049,0.7394932184593251,0.8844910458433902,0.8480886300575969,0.6893649409402318,1.0
