,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.46796430445929876,0.5485543310405482,0.3105295017040596,-0.12459003837344576,-0.3995622012857451,0.04629100498862761,0.04608455715060074,-0.1328050377489941,-0.22150715690638012,0.08333333333333331,-5.446037196307369e-17,-0.18720979653315778,-0.11264088922239571,0.18736725016373607,0.045199316457579804,0.16791512356486696,0.47661588141049044,0.18408879471525486,0.11915109374689978,0.28608606763566485,0.33144431589465945,0.242359683319281,0.03416333590378277,-0.09199560767965076,0.14374722712498642,0.32664702810853774,0.0044201080782679935,0.6401470309294676,-0.3987258732836385,-0.02813432103789647,-0.3341306182090665,-0.03674969681625194,-0.13061666420982146,0.06316489400485685,0.15080092659055747,0.029456646387225734,0.04030984912973072,0.37953183030796905,0.06334909551631776,0.18043649516754745,0.3115696234424994,-0.07060987881136026,0.21514993148927186,0.3192221958204813,0.1687310189124809,0.23311440024053784
Which picture best describes your relationship with Italy or Germany?,0.46796430445929876,1.0,0.29948782031411364,0.2896243006533502,-0.038261796989053735,-0.35266665424768306,-0.1769107266098379,0.14017853026642202,0.1087590299580732,-0.15116710381274104,0.09261793525756988,3.18568876078681e-17,-0.42821942896739335,-0.1896164733759244,0.04643641700366166,-0.1048770139951974,-0.1879330625839586,0.35201633815588174,0.1667952258461368,0.2043024776201603,-0.04685732367981674,-0.10555696290245824,0.08959051161151886,-0.3357316562086856,-0.24036618813291025,0.17003999931984,0.12483497193854884,-0.04343750885211364,0.8200112133625027,-0.38590096164682985,-0.05299257835313384,-0.3052050391999861,0.14044662819594417,-0.31792936372839875,-0.17027167058482473,-0.08021269599522769,0.32083793911647074,0.09667579886812538,0.3270493534577618,-0.13967410150476428,-0.2270554084233432,-0.08896888889530156,-0.16934487698280715,-0.130048213723297,-0.06646348410036292,0.27548577066918345,-0.1027743574925822
Which picture best describes your relationship with Italian or German language?,0.5485543310405482,0.29948782031411364,1.0,0.1766512772636115,-0.21927163320325643,-0.11364970609242485,0.19750213213679882,-0.3033586010285727,0.17807968112296815,-0.18901354932051356,-0.36570288736036544,-0.06523280730534442,-0.016525591101388164,-0.12815630620634835,-0.06311121193046729,0.07713776249784189,-0.08596986372680217,0.11402790915470604,-0.10026651623540614,0.3050172931077081,0.07989354619369629,0.219973963806335,0.46531608884042563,-0.017491082814625743,0.37007365288211624,-0.05451576771371518,0.09755553841702934,0.04526049602668947,0.7418553826291049,-0.3289880202740082,0.057617293649900495,0.115142962690258,-0.1881525832944989,0.15789611270640028,-0.20212136102714126,0.4558043049368529,-0.015081332890066492,-0.04422428464740968,0.21751594104213137,0.09979607999624307,0.24785040681134965,0.19939834408673188,0.15493341934487964,0.17047539418219163,0.4432180887037081,0.06014325825156208,0.2634009417593012
Which picture best describes your relationship with Italian or German Culture?,0.3105295017040596,0.2896243006533502,0.1766512772636115,1.0,0.06770554443344247,-0.06004658480974775,-0.3428637565499675,-0.03816163884860868,-0.024438448708730996,0.2955186229159423,0.18401748249129446,0.13540064007726577,-0.09978584614765833,0.16927779169233625,0.32391971932872854,0.25229642088715226,0.06488856845230491,0.19364916731037118,-0.003783971743220795,0.09352760024870505,0.11055415967851333,0.24114251158252234,0.13658265751926685,0.013201967239688986,-0.016928800125466072,-0.1028688999747279,0.06837371879496809,0.35869932795791776,0.5139744374652613,1.749535924680755e-16,0.10872134550890714,-0.1427772967061663,0.33728401118594475,-0.035052135007315674,0.09153462761575022,0.2435386362702275,0.19920476822239885,0.15020876836825303,0.27910136890382525,-0.14123317071650807,-0.18282154292699437,0.015842360687626667,-0.20951941572334584,-0.2870372784435198,-0.14113126084211544,0.23316570321746563,-0.12645650326607624
I see myself as someone who  [... is reserved ],-0.12459003837344576,-0.038261796989053735,-0.21927163320325643,0.06770554443344247,1.0,0.12583649358777818,-0.24895935079342085,-0.06890012092579927,-0.18062918351356375,-0.2506780653755421,-0.06748627078561656,-0.30557913510226314,0.36173044694291395,-0.23467854143899103,-0.04192721946300489,-0.36353715958620775,-0.01708511721221683,-0.41955591365860667,-0.13834576817758582,-0.2597881884878749,-0.1996034552110798,-0.2614053942400833,0.052842303928619376,-0.25474621817335025,-0.16715032091036028,-0.23680302585398214,-0.33354554859554647,-0.07324329086646272,-0.11976863759916367,0.18177365382536287,-0.8563340744455734,0.1274898737922579,0.05074666134675492,0.24127776156285782,0.05164501497697335,-0.1455690450264107,0.40204901529444137,0.2297659084829688,-0.05310840102950082,-0.13812165922276964,-0.3089710337648831,-0.2172046702320147,-0.03958779379793282,-0.014519666535991791,-0.20290412870687694,0.21095382679745964,-0.14012234702305984
I see myself as someone who  [... is generally trusting],-0.3995622012857451,-0.35266665424768306,-0.11364970609242485,-0.06004658480974775,0.12583649358777818,1.0,-0.4028047363539052,-0.1309414904915397,0.014150366193286554,0.31206520232513063,-0.23677760076192303,0.13937736030331982,0.11074129014448036,0.19291907236719147,-0.07968073981414518,0.25221484315938625,-0.05287885831881031,-0.18826239001911044,-0.027265749623639805,-0.059245851221654884,0.1422514226829902,0.09257566994197428,-0.23097601095947926,0.4501591222737337,-0.014158624523564802,-0.10059565406206346,0.23956901204678221,0.09450640750502597,-0.282815809678255,0.36948388729158144,0.07554228357030945,0.8514713788733976,0.3867818990671252,0.13440402369619053,0.06935859865437233,-0.05486866998813065,-0.030758312596043183,0.18468548219364622,-0.018308243045311073,-0.0048460397505018914,-0.11378991681439798,-0.009173053812370558,0.1454538879468831,0.13117741279896394,0.19639202105167497,0.05044537533877384,0.07137572448868257
I see myself as someone who  [... tends to be lazy],0.04629100498862761,-0.1769107266098379,0.19750213213679882,-0.3428637565499675,-0.24895935079342085,-0.4028047363539052,1.0,0.2759068601344585,-0.1038274618969936,-0.3235640054583404,-0.23659846994187428,-0.18165902124584957,-0.11714216596871209,-0.05407380704358721,0.11077629002037626,-0.002169815183013694,0.009673016668133604,0.2405626121623441,0.10491910373047393,0.34426685686696606,0.1236033081182613,0.1396645009997392,0.03635810794769693,0.02361639694773571,0.15709388361090404,0.14491376746189438,-0.032929784052308606,-0.19860931524506903,-0.08783129057051792,-0.031321684781787505,0.007293249574894732,-0.16379412803165236,-0.8812114465015637,-0.21789349943934438,0.06367749100033916,0.024410080743890943,-0.4556167838316568,-0.2786535251218416,-0.2276091604464492,0.025264557631995515,0.1540135498447842,-0.04959443359024521,-0.08716272672808181,-0.026558684138327546,0.08181680188713211,-0.35435000914631,-0.04022847069585769
"I see myself as someone who  [... is relaxed, handles stress well]",0.04608455715060074,0.14017853026642202,-0.3033586010285727,-0.03816163884860868,-0.06890012092579927,-0.1309414904915397,0.2759068601344585,1.0,-0.36838144518892646,0.11277474960756403,-0.026334032657486107,0.0,-0.6140386169409765,0.26762517228276567,0.04362814357046717,-0.046288677387942796,-0.020635450955667392,0.3629296174571814,0.23682020344814003,0.18669486323741036,0.18985175616882874,0.12521289432112637,-0.2618519067591112,-0.13350930706142689,-0.5749673733102061,0.15506300947877466,0.13648401162347235,-0.18577323569043294,-0.08451607020961076,0.1336371294164587,0.10994809514481182,-0.08054475283094215,-0.2190380930799917,-0.8962234344046429,0.41917336814569917,-0.46456254829539173,-0.23457539587342677,-0.012738250600807969,-0.23808040847404985,-0.21199444400354026,-0.4981089061260684,-0.40959647789033937,-0.48903347074914905,-0.33805733088496553,-0.3171637899386644,-0.17953457182648125,-0.46827550489646036
I see myself as someone who  [... has few artistic interests],-0.1328050377489941,0.1087590299580732,0.17807968112296815,-0.024438448708730996,-0.18062918351356375,0.014150366193286554,-0.1038274618969936,-0.36838144518892646,1.0,-0.0579006511983078,0.26139404255357584,0.34744306775405254,0.04686706059394343,-0.1861598983410199,-0.15453848096045184,0.2312149927967675,0.037662178857735484,-0.14355205236502472,-0.1331631350812665,0.042196974674375914,0.10131645603150845,0.14129066012173747,0.0858308983788037,0.15849473812738143,0.3684636870827232,0.279049153268915,-0.21304582152399534,0.10487958814043698,0.15088203486194987,0.3401816541340019,0.09963678846613766,-0.13084708658718536,0.24945007128392832,0.2293599523892145,-0.9106308846303914,0.27350148180772954,0.1366588868371394,-0.06424021242396173,0.057174390565307404,-0.015531838193370765,0.20105437048526048,-0.04137801560272101,0.4465403629045049,0.006349554394028088,0.11305150871001547,0.04727495640527069,0.15549574487601758
"I see myself as someone who  [... is ongoing, sociable]",-0.22150715690638012,-0.15116710381274104,-0.18901354932051356,0.2955186229159423,-0.2506780653755421,0.31206520232513063,-0.3235640054583404,0.11277474960756403,-0.0579006511983078,1.0,0.049223812645862175,0.3311454678419654,-0.04766472387940422,0.7466746890159992,-0.12960644324284473,0.09196181764786315,-0.44633281946924597,-0.23943223484903703,-0.2475538980039559,-0.2683270035179739,-0.23658174949734237,-0.18973685974645538,-0.18491294849159126,-0.09080908087781507,0.07374781420855027,-0.2610179048169294,-0.03698126785976747,0.4621283907562221,-0.1136932094168381,0.48174891586948554,0.7145973306069855,0.19926394727847324,0.41606084390134723,-0.08894072787030259,0.3622237698158803,0.08452453795066027,0.03653920476209345,0.04251866702881794,0.05855553401084077,-0.1525560484393322,-0.09358355132889416,-0.14892689263961673,-0.04170824934668922,-0.22240049828635822,-0.3387688184346346,0.051095112080655536,-0.16589442522330358
