,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8985488250928378,0.5841777559493532,0.5656279311962816,0.29556762955738664,0.34679848581771294,0.3792149792313442,0.2152488010002526,0.2650076729227665,0.9347355256701295,0.4935175686949296
Which picture best describes the relationship between Pepper and your national culture? ,0.8985488250928378,1.0,0.5073790852695188,0.5716400918213099,0.2724816009609776,0.354122211104421,0.385785284337911,0.2512356310558639,0.2387025750067989,0.9025283267788217,0.4873473325779121
Which picture best describes the relationship between Pepper and your own preferences? ,0.5841777559493532,0.5073790852695188,1.0,0.6496342474553902,0.6172492572831688,0.45465901189808905,0.6458799771861072,0.3269332600017026,0.5877210819461333,0.8041638825532049,0.7207341484766057
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.5656279311962816,0.5716400918213099,0.6496342474553902,1.0,0.6843127794022847,0.562346967042944,0.6836393333713381,0.539557209679049,0.619268424929115,0.6797884334352126,0.7926760225378631
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.29556762955738664,0.2724816009609776,0.6172492572831688,0.6843127794022847,1.0,0.47733752195485907,0.653572348112575,0.5725852008904285,0.7542244448232649,0.4572542213662843,0.8321100764293219
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.34679848581771294,0.354122211104421,0.45465901189808905,0.562346967042944,0.47733752195485907,1.0,0.5318896637471613,0.6325432252639733,0.6624142431177737,0.4407321287706175,0.7816173310795097
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.3792149792313442,0.385785284337911,0.6458799771861072,0.6836393333713381,0.653572348112575,0.5318896637471613,1.0,0.31743277067009856,0.7475194851592827,0.5411142855015919,0.8202537377820179
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.2152488010002526,0.2512356310558639,0.3269332600017026,0.539557209679049,0.5725852008904285,0.6325432252639733,0.31743277067009856,1.0,0.7017966377003633,0.3028827759290006,0.7328654985167795
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.2650076729227665,0.2387025750067989,0.5877210819461333,0.619268424929115,0.7542244448232649,0.6624142431177737,0.7475194851592827,0.7017966377003633,1.0,0.4217159039803603,0.9141194810191596
mean_cultural_closeness,0.9347355256701295,0.9025283267788217,0.8041638825532049,0.6797884334352126,0.4572542213662843,0.4407321287706175,0.5411142855015919,0.3028827759290006,0.4217159039803603,1.0,0.6507872957575279
mean_competence,0.4935175686949296,0.4873473325779121,0.7207341484766057,0.7926760225378631,0.8321100764293219,0.7816173310795097,0.8202537377820179,0.7328654985167795,0.9141194810191596,0.6507872957575279,1.0
