,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.9483726122938794,0.5316225667294897,0.12261669732833581,0.04643663938033346,0.21158536032469077,0.20687482443292599,0.2857604973907443,0.17120443818115672,0.9355727201003076,0.3568409726987397
Which picture best describes the relationship between Pepper and your national culture? ,0.9483726122938794,1.0,0.5987601448196924,0.21608472181968585,0.1553572529459382,0.31954216656826284,0.34229925184816945,0.3883639921539917,0.2045434573413628,0.9587679889104085,0.47035465462739123
Which picture best describes the relationship between Pepper and your own preferences? ,0.5316225667294897,0.5987601448196924,1.0,0.5659706027837896,0.502633021961735,0.5265012313521408,0.5876599789593886,0.473769720823727,0.46754108112419196,0.7800822054679665,0.6979447478778047
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.12261669732833581,0.21608472181968585,0.5659706027837896,1.0,0.6956518131660626,0.5677294814188499,0.6936777459270355,0.6930128533419598,0.8416972888210685,0.32518625515813093,0.8326691514295358
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.04643663938033346,0.1553572529459382,0.502633021961735,0.6956518131660626,1.0,0.726193432466599,0.6049273497368725,0.6654889181423465,0.5790531978957207,0.2505570561458071,0.8457302127802032
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.21158536032469077,0.31954216656826284,0.5265012313521408,0.5677294814188499,0.726193432466599,1.0,0.39532659678625665,0.53718431956635,0.4451373981437605,0.3860824939097109,0.7706848434993613
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.20687482443292599,0.34229925184816945,0.5876599789593886,0.6936777459270355,0.6049273497368725,0.39532659678625665,1.0,0.5569356362319364,0.6183704868350085,0.4140774426364779,0.7684156152546324
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.2857604973907443,0.3883639921539917,0.473769720823727,0.6930128533419598,0.6654889181423465,0.53718431956635,0.5569356362319364,1.0,0.7659257395823091,0.42328504818456425,0.8599891794205279
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.17120443818115672,0.2045434573413628,0.46754108112419196,0.8416972888210685,0.5790531978957207,0.4451373981437605,0.6183704868350085,0.7659257395823091,1.0,0.3056591771533118,0.8090246596064032
mean_cultural_closeness,0.9355727201003076,0.9587679889104085,0.7800822054679665,0.32518625515813093,0.2505570561458071,0.3860824939097109,0.4140774426364779,0.42328504818456425,0.3056591771533118,1.0,0.5593575711547157
mean_competence,0.3568409726987397,0.47035465462739123,0.6979447478778047,0.8326691514295358,0.8457302127802032,0.7706848434993613,0.7684156152546324,0.8599891794205279,0.8090246596064032,0.5593575711547157,1.0
