,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.1373643237756813,0.06565164464261564,0.06323407404677503,0.190603863016485,0.18459258626549735,0.2663429164008634,0.29490365506338706,0.2428497678787076,0.23914775526403925,0.09926531691811304,0.2794031249085128
Which picture best describes the relationship between Pepper and your country? ,0.1373643237756813,1.0,0.8815702690751722,0.5451944488868781,0.2982839380714663,0.19670248137608,0.20626475461969876,0.30154435830209725,0.29365705186467417,0.30847769861250096,0.9072310390108113,0.40510042544894076
Which picture best describes the relationship between Pepper and your national culture? ,0.06565164464261564,0.8815702690751722,1.0,0.6473646299544997,0.39933389080399856,0.2767522751569198,0.3591121200885232,0.41815130303351483,0.3777947894663818,0.3600130721730251,0.9464204048595339,0.516851339718608
Which picture best describes the relationship between Pepper and your own preferences? ,0.06323407404677503,0.5451944488868781,0.6473646299544997,1.0,0.5482623389257424,0.46046112305967607,0.5050129349885011,0.5281166049100382,0.5257376207176123,0.506845767253712,0.8199652326473515,0.659899933488685
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.190603863016485,0.2982839380714663,0.39933389080399856,0.5482623389257424,1.0,0.7659665428631998,0.6229145250315027,0.8178540246730331,0.721735012093389,0.8711806522522381,0.46615049695659333,0.8855682305616691
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.18459258626549735,0.19670248137608,0.2767522751569198,0.46046112305967607,0.7659665428631998,1.0,0.7213482404828225,0.6972555102557882,0.6530593861035885,0.6540795876829905,0.3493833167184269,0.8619274422304305
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.2663429164008634,0.20626475461969876,0.3591121200885232,0.5050129349885011,0.6229145250315027,0.7213482404828225,1.0,0.5572941082462121,0.6049137647819696,0.5659055775698278,0.4007454518047317,0.8127240578563
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.29490365506338706,0.30154435830209725,0.41815130303351483,0.5281166049100382,0.8178540246730331,0.6972555102557882,0.5572941082462121,1.0,0.636171463689306,0.7692342453601249,0.4669704260099744,0.8530752287153472
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.2428497678787076,0.29365705186467417,0.3777947894663818,0.5257376207176123,0.721735012093389,0.6530593861035885,0.6049137647819696,0.636171463689306,1.0,0.7299452400484395,0.44787535427028435,0.8444882336289331
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.23914775526403925,0.30847769861250096,0.3600130721730251,0.506845767253712,0.8711806522522381,0.6540795876829905,0.5659055775698278,0.7692342453601249,0.7299452400484395,1.0,0.4395712668638065,0.8613989094734851
mean_cultural_closeness,0.09926531691811304,0.9072310390108113,0.9464204048595339,0.8199652326473515,0.46615049695659333,0.3493833167184269,0.4007454518047317,0.4669704260099744,0.44787535427028435,0.4395712668638065,1.0,0.5918273542401425
mean_competence,0.2794031249085128,0.40510042544894076,0.516851339718608,0.659899933488685,0.8855682305616691,0.8619274422304305,0.8127240578563,0.8530752287153472,0.8444882336289331,0.8613989094734851,0.5918273542401425,1.0
