,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.07148949492033986,0.12638316169989355,0.12552521577590006,0.09676109257488609,0.16824300668063535,0.2920536537741095,0.08060092539655095,0.10622222032421232,0.16730926376932043,0.11979583167473,0.19478466807234268
Which picture best describes the relationship between Pepper and your country? ,0.07148949492033986,1.0,0.7900770722586526,0.6412921634567138,0.5419999843975458,0.4423217550720363,0.3559010684315015,0.5553448390618738,0.5042216453734693,0.5067377634795373,0.8948205148616963,0.6342151394804474
Which picture best describes the relationship between Pepper and your national culture? ,0.12638316169989355,0.7900770722586526,1.0,0.7396849028140151,0.7217359628008887,0.4408149820766386,0.46297736519944727,0.5845104884539611,0.5569361900204519,0.6315793086023865,0.9341129671450138,0.7076204974941996
Which picture best describes the relationship between Pepper and your own preferences? ,0.12552521577590006,0.6412921634567138,0.7396849028140151,1.0,0.6948476879652901,0.42329515481521274,0.4263889772722585,0.6129214622104583,0.5126876601852657,0.6637743500249671,0.8806564449862277,0.69079062906501
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.09676109257488609,0.5419999843975458,0.7217359628008887,0.6948476879652901,1.0,0.6532315354250066,0.662129391284779,0.7391326848251504,0.6342552716971511,0.8005009522884337,0.7241462785904995,0.8488875536664293
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.16824300668063535,0.4423217550720363,0.4408149820766386,0.42329515481521274,0.6532315354250066,1.0,0.7591191309339652,0.6090248572460442,0.5279812154038102,0.5711552376638761,0.48201873566344444,0.811662373109818
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.2920536537741095,0.3559010684315015,0.46297736519944727,0.4263889772722585,0.662129391284779,0.7591191309339652,1.0,0.547699360078902,0.607541694059266,0.6683625797512822,0.46026330068573035,0.8373742695239285
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.08060092539655095,0.5553448390618738,0.5845104884539611,0.6129214622104583,0.7391326848251504,0.6090248572460442,0.547699360078902,1.0,0.5557254589720837,0.7942700081942179,0.6471977578466717,0.8364864267997489
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.10622222032421232,0.5042216453734693,0.5569361900204519,0.5126876601852657,0.6342552716971511,0.5279812154038102,0.607541694059266,0.5557254589720837,1.0,0.7022703822676808,0.5810310390144685,0.8036807529966876
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.16730926376932043,0.5067377634795373,0.6315793086023865,0.6637743500249671,0.8005009522884337,0.5711552376638761,0.6683625797512822,0.7942700081942179,0.7022703822676808,1.0,0.6662093076579348,0.8909143945613819
mean_cultural_closeness,0.11979583167473,0.8948205148616963,0.9341129671450138,0.8806564449862277,0.7241462785904995,0.48201873566344444,0.46026330068573035,0.6471977578466717,0.5810310390144685,0.6662093076579348,1.0,0.7506317206812766
mean_competence,0.19478466807234268,0.6342151394804474,0.7076204974941996,0.69079062906501,0.8488875536664293,0.811662373109818,0.8373742695239285,0.8364864267997489,0.8036807529966876,0.8909143945613819,0.7506317206812766,1.0
