,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8016545258774362,0.597882687990539,0.4786547907085272,0.4030226326574487,0.26726293631510945,0.6160946711877657,0.4822711879839953,0.5031148472514365,0.8914177329278697,0.646239715076643
Which picture best describes the relationship between Pepper and your national culture? ,0.8016545258774362,1.0,0.6951091625161554,0.7820117263452415,0.47788717268701053,0.4699042311130402,0.6186690758237329,0.6070182152358342,0.707884741601991,0.9309256022093755,0.7876389386775178
Which picture best describes the relationship between Pepper and your own preferences? ,0.597882687990539,0.6951091625161554,1.0,0.6703231529074186,0.31576499522653223,0.275224011848156,0.5777823975270922,0.408825157065675,0.629228653158001,0.858854737035124,0.6271009552906152
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.4786547907085272,0.7820117263452415,0.6703231529074186,1.0,0.5436235855413545,0.6256673267208759,0.6593424518872477,0.5938849926638473,0.8088916589438188,0.7225251324836717,0.8286234092440614
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.4030226326574487,0.47788717268701053,0.31576499522653223,0.5436235855413545,1.0,0.8247779960212483,0.5362565982733138,0.508587149884376,0.4316011413477254,0.44584611612208014,0.7966187461200229
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.26726293631510945,0.4699042311130402,0.275224011848156,0.6256673267208759,0.8247779960212483,1.0,0.385616843858628,0.47230186442197913,0.48108129950370887,0.3781450412293984,0.759224953676346
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.6160946711877657,0.6186690758237329,0.5777823975270922,0.6593424518872477,0.5362565982733138,0.385616843858628,1.0,0.5247470237382073,0.7666615792417583,0.6758376751541012,0.8112851660091295
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.4822711879839953,0.6070182152358342,0.408825157065675,0.5938849926638473,0.508587149884376,0.47230186442197913,0.5247470237382073,1.0,0.6360690831143632,0.5585105904890951,0.7798577843538477
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.5031148472514365,0.707884741601991,0.629228653158001,0.8088916589438188,0.4316011413477254,0.48108129950370887,0.7666615792417583,0.6360690831143632,1.0,0.6879274312378703,0.8386453790054
mean_cultural_closeness,0.8914177329278697,0.9309256022093755,0.858854737035124,0.7225251324836717,0.44584611612208014,0.3781450412293984,0.6758376751541012,0.5585105904890951,0.6879274312378703,1.0,0.7689576992251781
mean_competence,0.646239715076643,0.7876389386775178,0.6271009552906152,0.8286234092440614,0.7966187461200229,0.759224953676346,0.8112851660091295,0.7798577843538477,0.8386453790054,0.7689576992251781,1.0
