,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
8,1.5182437314013402,0.7316069392444281,1.3801363839391183,-0.5039856886757045,-1.8380365552345193,1.0783813011148145,0.5793788447197356,-1.7179113807746667,1.2339090618456074,-0.5190404464727453,-1.299038105676658,-0.018784518919133696,1.1186842395980272,-0.864371867131687,-2.271521288475426,-2.008316044185609,0.4086695143912976,0.8791576221375961,-0.017681814190623764,-2.787552255684708,-2.2060404114468013,0.8182208909655017,-2.6788432901156627,0.7357148541413416,-2.3458577920427754,-1.103915724340573,2.5529939222916,1.4747076364396243,1.0125177250138004,-0.9195786620698222,-1.4431658997409493,-0.33109172431228767,1.903175427332697,1.1252326894204334,-1.0996169127971518,-1.12742985928183,-1.3861754780754054,-1.6854650307178018,-1.0176174936274818,-0.9864995326072515,-1.1348493743894992,-1.729746913568207,-1.7700185834146516,-1.3653745513337505,-1.5945533166384585
13,0.9002651271626038,0.7316069392444281,0.6725981111602032,-2.35956936061807,0.14704292441876177,1.9024273897025499,1.3747972586569994,-1.7179113807746667,0.26355339185051796,-0.5190404464727453,0.0,-1.5403305513689562,1.1186842395980272,1.062622295372899,1.2000489825907912,0.18257418583505533,1.4939885526108077,1.3842056178336615,1.41454513524992,1.0179263855028422,0.8397994748121344,-1.7169225253046578,1.1959121830873498,-1.574087594907056,1.6544470743880624,1.8966605733636683,-1.678054828718519,0.9267658082212313,1.5704356551234457,0.4105261884240278,-1.4431658997409493,-1.6500308883759909,1.903175427332697,-1.7008233628878107,-0.4332655167629675,-0.4526380962141337,1.1851271262934764,0.9001915504970076,1.4067065353085773,1.3408731511166523,-0.10968804362129005,1.4227168364098501,0.8086056118477004,0.1302799158673074,1.0661987613450523
21,1.5182437314013402,0.7316069392444281,0.6725981111602032,0.42380614729547844,-0.8454968154078787,0.25433521252707886,0.5793788447197356,1.4446072974696063,0.26355339185051796,0.5873352420612646,0.0,0.7419884973057775,1.1186842395980272,-2.7913660296362726,-2.96583534268867,-2.008316044185609,-1.2193090429379683,-1.646082356342732,-0.7337952889108965,-1.519059375288858,-1.698400430403645,0.09389420060259883,-1.3872581323813251,0.2737543643316621,-0.34570535882735687,-1.103915724340573,-1.1491737348422544,1.2007367223304282,-0.10331813520548984,-0.9195786620698222,-0.1929366176124264,0.10855466370894677,-0.4325398698483402,-0.5457209964826512,0.23308587927121677,-0.4526380962141337,0.5423014752012559,1.4173228667399695,1.4067065353085773,1.3408731511166523,0.915473287146919,1.4227168364098501,1.3243304509001708,0.1302799158673074,1.3854890107030735
24,-1.5716492897923418,-0.7686503285732601,-2.157554979955458,1.3515979832666614,-0.8454968154078787,1.0783813011148145,-1.806876397092056,-0.9272817112135985,-2.64751361813475,-0.5190404464727453,0.0,1.5027615135306889,1.1186842395980272,-1.5067032546332155,1.2000489825907912,0.730296743340222,1.4939885526108077,0.37410962644153,0.6984316605296482,-1.519059375288858,-1.1907604493604893,0.8182208909655017,0.5501196042201811,1.6596358337607011,0.9877295966495896,1.29654531382282,-0.09141154708972472,-1.8129433328707318,-2.3349898556440705,-0.25452623682289716,-0.8180512586766878,1.8671402157938846,1.3192466030374377,1.1434392065791839,-1.0996169127971518,-0.4526380962141337,-0.10052417589096449,-0.6512023982318781,-1.0176174936274818,-0.05555045911768999,-0.10968804362129005,-0.6789256635755213,-0.7385689053097108,-0.6175473177332216,-0.6366825685643949
33,0.9002651271626038,0.7316069392444281,-0.034940161618712016,0.42380614729547844,-2.8305762950611597,-0.5697108760606566,0.5793788447197356,0.653977627908538,0.26355339185051796,-0.5190404464727453,-1.299038105676658,-0.779557535144045,0.08898624633166119,1.062622295372899,0.5057349283775479,-3.1037611591959413,0.4086695143912976,-2.6561783477348633,-0.017681814190623764,1.0179263855028422,-0.17548048727417778,-0.2682691445788524,-0.0956729746469881,0.2737543643316621,0.3210121189111167,0.09631479474112316,0.966350640662805,0.6527948941120353,-0.10331813520548984,-1.584631087316747,-0.1929366176124264,-0.7707381123335221,-0.4325398698483402,0.26750343660819614,-1.0996169127971518,-1.12742985928183,-1.3861754780754054,-1.16833371447484,-1.5024822994146936,0.8753986143718715,-2.160010705157708,0.37189558641716447,-0.7385689053097108,-1.3653745513337505,-0.8495427348030755
41,1.5182437314013402,0.7316069392444281,1.3801363839391183,-0.5039856886757045,-1.8380365552345193,1.0783813011148145,0.5793788447197356,0.653977627908538,-0.7068022781445714,1.6937109305952747,0.0,-1.5403305513689562,-0.9407117469347048,-0.2220404796301586,-0.1885791258356963,0.18257418583505533,0.9513290335010527,-1.1410343606466664,0.6984316605296482,-0.25056649489300825,-0.17548048727417778,1.5425475813284042,-0.7414655535141567,-0.18820612547801738,0.3210121189111167,0.6964300542819719,-1.678054828718519,1.4747076364396243,-0.10331813520548984,-2.249683512563672,-0.8180512586766878,-1.2103845003547564,-1.0164686941435994,0.10162183582847067,-1.0996169127971518,-1.12742985928183,1.827952777385697,0.9001915504970076,0.43697692373415364,0.40992407762709077,0.915473287146919,-0.6789256635755213,0.8086056118477004,-0.11899582866620238,0.39214156825589574
43,1.5182437314013402,0.7316069392444281,1.3801363839391183,0.42380614729547844,0.14704292441876177,-0.5697108760606566,1.3747972586569994,-1.7179113807746667,1.2339090618456074,-0.5190404464727453,1.299038105676658,-0.779557535144045,1.1186842395980272,0.4202909078713706,-0.8828931800489397,-1.4605934866804426,0.4086695143912976,-2.1511303520387974,0.6984316605296482,0.3836799453049173,-0.17548048727417778,1.180384236146953,-0.7414655535141567,-0.18820612547801738,0.3210121189111167,1.29654531382282,-1.1491737348422544,1.4747076364396243,0.45459979490415536,0.4105261884240278,1.0572926645160965,-1.2103845003547564,1.903175427332697,0.09555299677555468,0.23308587927121677,-0.4526380962141337,-0.10052417589096449,-1.16833371447484,-0.04788788205305817,-0.05555045911768999,-1.6474300397736037,-0.15351503857917845,-0.22284406625724038,-0.11899582866620238,-0.45929909669882696
47,0.2822865229238674,0.7316069392444281,1.3801363839391183,-1.4317775246468873,0.14704292441876177,-1.393756964648392,-1.806876397092056,0.653977627908538,1.2339090618456074,0.5873352420612646,0.0,0.7419884973057775,1.1186842395980272,-0.2220404796301586,-0.1885791258356963,0.18257418583505533,-0.13399000471845807,-0.13093836925453542,-0.7337952889108965,-0.8848129350909331,-0.17548048727417778,-0.2682691445788524,-0.0956729746469881,0.2737543643316621,-0.34570535882735687,0.6964300542819719,1.4952317345390698,0.9267658082212313,1.5704356551234457,-0.25452623682289716,1.0572926645160965,1.42749382777265,0.1513889544469191,0.4637292326525051,0.23308587927121677,-0.4526380962141337,1.1851271262934764,1.4173228667399695,1.4067065353085773,1.3408731511166523,1.9406346179151281,0.8973062114135073,1.3243304509001708,0.3795556604008172,1.5273957881955276
48,-0.335692081314869,0.7316069392444281,-0.034940161618712016,-1.4317775246468873,0.14704292441876177,-1.393756964648392,-1.0114579831547923,0.653977627908538,1.2339090618456074,-1.625416135006755,0.0,-0.779557535144045,-0.9407117469347048,0.4202909078713706,-0.1885791258356963,0.730296743340222,-0.13399000471845807,1.3842056178336615,-0.017681814190623764,-0.25056649489300825,-0.17548048727417778,1.5425475813284042,1.1959121830873498,0.2737543643316621,0.9877295966495896,0.6964300542819719,0.43746954678654026,0.1048530658936423,1.5704356551234457,1.0755786136709529,1.0572926645160965,0.10855466370894677,-1.0164686941435994,1.1859210799496005,-0.4332655167629675,-0.4526380962141337,-1.3861754780754054,0.9001915504970076,0.9218417295213654,1.3408731511166523,-0.10968804362129005,0.37189558641716447,0.29288077279523,-0.8668230622667312,0.49857165137523635
53,0.9002651271626038,0.7316069392444281,-0.7424784343976272,-0.5039856886757045,-0.8454968154078787,-0.5697108760606566,0.5793788447197356,0.653977627908538,0.26355339185051796,-1.625416135006755,0.0,-1.5403305513689562,0.08898624633166119,-0.2220404796301586,0.5057349283775479,0.18257418583505533,-1.2193090429379683,1.8892536135297269,1.41454513524992,1.0179263855028422,0.3321594937689786,0.8182208909655017,0.5501196042201811,1.197675343951021,1.6544470743880624,1.29654531382282,1.4952317345390698,0.3788239800028391,0.45459979490415536,0.4105261884240278,0.43217802345183504,-1.2103845003547564,-0.4325398698483402,1.5601661548794687,-1.0996169127971518,-1.12742985928183,-0.10052417589096449,0.38306023425404573,0.43697692373415364,0.8753986143718715,0.915473287146919,0.8973062114135073,1.3243304509001708,-0.8668230622667312,0.8178619007332577
