Section,Item,Mean_IT,Mean_DE,P_Value,Cliff_d,Magnitude
CULTURE,Culture_Affinity_Q1,5.2631578947368425,3.9069767441860463,0.000592494940034987,0.4944920440636475,Large
CULTURE,Culture_Affinity_Q2,6.526315789473684,5.5813953488372094,0.0013653046930192218,0.4424724602203182,Medium
CULTURE,Culture_Affinity_Q3,5.605263157894737,4.558139534883721,0.021967384868613344,0.42472460220318237,Medium
PERSONALITY,Personality_BFI_Q1,3.3157894736842106,3.744186046511628,0.5426308509195038,-0.19706242350061198,Small
PERSONALITY,Personality_BFI_Q2,3.6052631578947367,4.069767441860465,0.5884262731802024,-0.24296205630354958,Small
PERSONALITY,Personality_BFI_Q3,2.710526315789474,2.6744186046511627,0.9237905670732136,0.00795593635250918,Negligible
PERSONALITY,Personality_BFI_Q4,3.3947368421052633,3.1627906976744184,0.7998888520197579,0.11199510403916768,Negligible
PERSONALITY,Personality_BFI_Q5,3.289473684210526,3.0697674418604652,0.5944112406776743,0.07833537331701346,Negligible
PERSONALITY,Personality_BFI_Q6,4.0,3.488372093023256,0.4292315320054754,0.2668298653610771,Small
PERSONALITY,Personality_BFI_Q7,2.4473684210526314,2.488372093023256,0.9999929470823133,-0.004895960832313341,Negligible
PERSONALITY,Personality_BFI_Q8,3.9210526315789473,4.069767441860465,0.9852918826995565,-0.09730722154222766,Negligible
PERSONALITY,Personality_BFI_Q9,2.6578947368421053,3.3488372093023258,0.14665909133755756,-0.2864137086903305,Small
PERSONALITY,Personality_BFI_Q10,3.763157894736842,4.046511627906977,0.28802481734032065,-0.13341493268053856,Negligible
ROBOT_TRUST,Robot_Trust_Q1,71.57894736842105,75.11627906976744,0.6261709425749058,-0.18421052631578946,Small
ROBOT_TRUST,Robot_Trust_Q2,70.78947368421052,74.4186046511628,0.6996696024398359,-0.15299877600979192,Small
ROBOT_TRUST,Robot_Trust_Q3,63.68421052631579,69.30232558139535,0.47052448454323104,-0.19461444308445533,Small
ROBOT_TRUST,Robot_Trust_Q4,77.10526315789474,68.37209302325581,0.40945207959671276,0.2552019583843329,Small
ROBOT_TRUST,Robot_Trust_Q5,63.1578947368421,62.093023255813954,0.932563174828819,0.051407588739290085,Negligible
ROBOT_TRUST,Robot_Trust_Q6,81.57894736842105,79.06976744186046,0.7719660650299214,0.10342717258261934,Negligible
ROBOT_TRUST,Robot_Trust_Q7,74.47368421052632,73.48837209302326,0.9040112696046066,0.05752753977968176,Negligible
ROBOT_TRUST,Robot_Trust_Q8,74.21052631578948,72.79069767441861,0.9998680518750431,0.012851897184822521,Negligible
ROBOT_TRUST,Robot_Trust_Q9,65.0,50.69767441860465,0.05091195547384333,0.3164014687882497,Small
ROBOT_TRUST,Robot_Trust_Q10,71.84210526315789,71.16279069767442,0.9999995697134797,0.009179926560587515,Negligible
ROBOT_TRUST,Robot_Trust_Q11,47.10526315789474,41.395348837209305,0.6031934522753883,0.17503059975520197,Small
ROBOT_TRUST,Robot_Trust_Q12,77.89473684210526,72.79069767441861,0.6366331339600246,0.1780905752753978,Small
ROBOT_TRUST,Robot_Trust_Q13,71.57894736842105,65.5813953488372,0.04387531366826307,0.25397796817625456,Small
ROBOT_TRUST,Robot_Trust_Q14,29.736842105263158,33.48837209302326,0.8743922611064711,-0.1291309669522644,Negligible
