,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.4632862466569274,0.49203794699359243,0.2680181371357577,0.21796176586341706,0.15990053726670778,0.33353871433454074,0.19240792736991477,0.2532821106076965,0.8324912723599074,0.3711404513174295
Which picture best describes the relationship between Pepper and your national culture? ,0.4632862466569274,1.0,0.33993202039320236,0.24545057970038567,0.434769352926241,0.6790640976965927,0.3964757936890944,-0.10285378442105372,0.09514225813685229,0.7311502501351116,0.37516387712183713
Which picture best describes the relationship between Pepper and your own preferences? ,0.49203794699359243,0.33993202039320236,1.0,0.01775552060571093,-0.022996102490913595,0.030366612381709283,0.4834004769515406,0.25296972079001695,0.22100298356041725,0.7979823112979366,0.3449415373637054
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.2680181371357577,0.24545057970038567,0.01775552060571093,1.0,0.9132483825423162,0.7893522173763261,0.8545538045310406,0.8219644634897769,0.9152206651837476,0.21640915772039854,0.9261168824781396
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.21796176586341706,0.434769352926241,-0.022996102490913595,0.9132483825423162,1.0,0.8661417972267736,0.8300829630422962,0.6604271427509913,0.7294462186022052,0.2469992244527247,0.8629032258064517
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.15990053726670778,0.6790640976965927,0.030366612381709283,0.7893522173763261,0.8661417972267736,1.0,0.7410482726333565,0.494624720831694,0.6662423477829832,0.3377314021526574,0.8036659954595968
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.33353871433454074,0.3964757936890944,0.4834004769515406,0.8545538045310406,0.8300829630422962,0.7410482726333565,1.0,0.8216801446787435,0.8592142747974606,0.5142642579026059,0.9662867168372647
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.19240792736991477,-0.10285378442105372,0.25296972079001695,0.8219644634897769,0.6604271427509913,0.494624720831694,0.8216801446787435,1.0,0.9473141238187237,0.16058668637909615,0.874819536106724
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.2532821106076965,0.09514225813685229,0.22100298356041725,0.9152206651837476,0.7294462186022052,0.6662423477829832,0.8592142747974606,0.9473141238187237,1.0,0.24658735593449355,0.9364265831305811
mean_cultural_closeness,0.8324912723599074,0.7311502501351116,0.7979823112979366,0.21640915772039854,0.2469992244527247,0.3377314021526574,0.5142642579026059,0.16058668637909615,0.24658735593449355,1.0,0.459313451429109
mean_competence,0.3711404513174295,0.37516387712183713,0.3449415373637054,0.9261168824781396,0.8629032258064517,0.8036659954595968,0.9662867168372647,0.874819536106724,0.9364265831305811,0.459313451429109,1.0
