,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.07148949492033986,0.14593898579664374,0.1566682009948157,0.12768707787625153,0.18411945942373764,0.3043084225524508,0.07991422102356506,0.09777631519389544,0.16000228576326642,0.1389214056250806,0.20113597866850602
Which picture best describes the relationship between Pepper and your country? ,0.07148949492033986,1.0,0.7900770722586526,0.6593949625395629,0.5480034790126067,0.45301086511345245,0.3595577475432181,0.5743072271835044,0.5240211266588802,0.5229925558244816,0.9026215889434999,0.6493760451905194
Which picture best describes the relationship between Pepper and your national culture? ,0.14593898579664374,0.7900770722586526,1.0,0.7131287027112564,0.7117416142538715,0.4201288648998676,0.45637826836031004,0.5754248028339779,0.5325357569043874,0.6163475031512891,0.9252833202788544,0.6902297510992887
Which picture best describes the relationship between Pepper and your own preferences? ,0.1566682009948157,0.6593949625395629,0.7131287027112564,1.0,0.7022673333822359,0.42906668051938024,0.4691619695585058,0.6074858087562924,0.5329242874789749,0.6978939316574183,0.8785627516984633,0.711587240308649
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.12768707787625153,0.5480034790126067,0.7117416142538715,0.7022673333822359,1.0,0.6473233327400798,0.6674699652127293,0.7258757891092339,0.6296144961215072,0.8006934484679218,0.7263206454077457,0.845509586015068
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.18411945942373764,0.45301086511345245,0.4201288648998676,0.42906668051938024,0.6473233327400798,1.0,0.769520593462555,0.600306727041867,0.5363650213366947,0.583056669453485,0.4809299711457559,0.8169079003967191
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.3043084225524508,0.3595577475432181,0.45637826836031004,0.4691619695585058,0.6674699652127293,0.769520593462555,1.0,0.5326508463202865,0.6154753228293697,0.678264025804069,0.4757393626531063,0.8436962579203375
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.07991422102356506,0.5743072271835044,0.5754248028339779,0.6074858087562924,0.7258757891092339,0.600306727041867,0.5326508463202865,1.0,0.5316930773832091,0.7681110129822047,0.6494655682438476,0.8196426279899498
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.09777631519389544,0.5240211266588802,0.5325357569043874,0.5329242874789749,0.6296144961215072,0.5363650213366947,0.6154753228293697,0.5316930773832091,1.0,0.6942239043618501,0.5873897310011127,0.8018856012294732
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.16000228576326642,0.5229925558244816,0.6163475031512891,0.6978939316574183,0.8006934484679218,0.583056669453485,0.678264025804069,0.7681110129822047,0.6942239043618501,1.0,0.6800726117636681,0.8907592621568428
mean_cultural_closeness,0.1389214056250806,0.9026215889434999,0.9252833202788544,0.8785627516984633,0.7263206454077457,0.4809299711457559,0.4757393626531063,0.6494655682438476,0.5873897310011127,0.6800726117636681,1.0,0.7583760085433339
mean_competence,0.20113597866850602,0.6493760451905194,0.6902297510992887,0.711587240308649,0.845509586015068,0.8169079003967191,0.8436962579203375,0.8196426279899498,0.8018856012294732,0.8907592621568428,0.7583760085433339,1.0
