,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,24.0,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
unique,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,1.0,,6.0,6.833333333333333,6.333333333333333,3.1666666666666665,3.5833333333333335,2.625,3.5416666666666665,3.125,4.125,2.4166666666666665,3.9166666666666665,2.5833333333333335,4.0,0.7166666666666667,0.6875,0.6,0.7583333333333334,0.5916666666666667,0.8083333333333332,0.7291666666666666,0.7541666666666668,0.6124999999999999,0.6916666666666668,0.4375,0.7416666666666667,0.6875,0.2791666666666666,5.4444444444444455,3.063333333333334,-1.1666666666666667,-1.2916666666666667,-0.9583333333333334,0.875,-3.408333333333333,1.2196390993265993
std,0.0,,1.06321906614239,0.38069349381344053,0.6370220572706061,1.2394482175782782,1.1000658741803746,1.2445533509971602,1.2503622663458176,1.2618998788920721,0.7974142996067924,0.8297022339981069,0.7755316082290384,1.282547284209001,0.9325048082403138,0.1403928236326068,0.14836060651405208,0.18650096164806276,0.1612900888263851,0.22634461349449211,0.1282547284209001,0.1517411029314094,0.19332146390351254,0.29089442280214195,0.14116492564332,0.17891581697887246,0.14116492564332,0.1872280636712535,0.21665273087847622,0.5262818872037225,0.2440182934458642,1.4939491483885972,1.6805580508625224,2.1964233112765035,1.848912723973083,0.8123592408730783,0.0749177990283876
min,1.0,,4.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.3,0.3,0.1,0.4,0.1,0.5,0.3,0.3,0.1,0.3,0.1,0.4,0.2,0.0,4.666666666666667,2.68,-4.0,-4.0,-4.0,-2.0,-4.5,1.051830808080808
25%,1.0,,5.0,7.0,6.0,2.0,3.0,2.0,3.0,2.75,4.0,2.0,3.75,1.0,3.0,0.7,0.6,0.5,0.7,0.475,0.775,0.6749999999999999,0.7,0.45,0.6,0.3,0.6749999999999999,0.575,0.1,5.0,2.8775,-2.0,-3.0,-2.25,0.0,-4.2,1.1624999999999999
50%,1.0,,6.0,7.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.5,4.0,0.7,0.7,0.6499999999999999,0.8,0.6,0.8,0.8,0.7,0.6,0.7,0.45,0.8,0.8,0.25,5.5,3.075,-1.5,-1.5,-1.0,0.0,-3.3,1.2178661616161617
75%,1.0,,7.0,7.0,7.0,4.0,4.0,4.0,4.25,4.0,5.0,3.0,4.0,4.0,5.0,0.8,0.8,0.7,0.9,0.7,0.9,0.8,0.9,0.9,0.8,0.5,0.8,0.8,0.4,6.0,3.21,0.0,0.0,0.25,2.25,-3.1750000000000003,1.2571969696969698
