,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.7642680275949812,0.611975202631743,0.3730504888247225,0.23955601981064453,0.2479068291790066,0.34754555135923854,0.29837561698597453,0.34419407727225304,0.8818285726113096,0.4163856323420663
Which picture best describes the relationship between Pepper and your national culture? ,0.7642680275949812,1.0,0.6429110315097702,0.5041400807395202,0.34429117030918843,0.43564374082747875,0.4949482130769717,0.41419740526107574,0.3890301180483479,0.9057536213923589,0.5486918476204128
Which picture best describes the relationship between Pepper and your own preferences? ,0.611975202631743,0.6429110315097702,1.0,0.5031332635314397,0.3218737159414018,0.48806058873543584,0.4953359010120351,0.7003063601734425,0.49670977427386315,0.864037451670174,0.6267215499029899
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.3730504888247225,0.5041400807395202,0.5031332635314397,1.0,0.8537843384823218,0.7404404271811814,0.8860140997374254,0.7095610281954996,0.834055466004086,0.5260760801055526,0.9149406298347823
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.23955601981064453,0.34429117030918843,0.3218737159414018,0.8537843384823218,1.0,0.7749384452886657,0.7585727186554966,0.6264631347079428,0.6941741294684034,0.3452203920404334,0.8679421800089352
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.2479068291790066,0.43564374082747875,0.48806058873543584,0.7404404271811814,0.7749384452886657,1.0,0.7328228227185357,0.7642550848901508,0.7364932891110836,0.45143185472046016,0.9102930485911338
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.34754555135923854,0.4949482130769717,0.4953359010120351,0.8860140997374254,0.7585727186554966,0.7328228227185357,1.0,0.5993392473686737,0.7935861483787232,0.5107530986279565,0.8816836767392058
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.29837561698597453,0.41419740526107574,0.7003063601734425,0.7095610281954996,0.6264631347079428,0.7642550848901508,0.5993392473686737,1.0,0.6632503844723315,0.5474124314001426,0.8362519075539306
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.34419407727225304,0.3890301180483479,0.49670977427386315,0.834055466004086,0.6941741294684034,0.7364932891110836,0.7935861483787232,0.6632503844723315,1.0,0.46949312067252885,0.8736715928703174
mean_cultural_closeness,0.8818285726113096,0.9057536213923589,0.864037451670174,0.5260760801055526,0.3452203920404334,0.45143185472046016,0.5107530986279565,0.5474124314001426,0.46949312067252885,1.0,0.6085762468468209
mean_competence,0.4163856323420663,0.5486918476204128,0.6267215499029899,0.9149406298347823,0.8679421800089352,0.9102930485911338,0.8816836767392058,0.8362519075539306,0.8736715928703174,0.6085762468468209,1.0
