,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.12270844052742676,-0.15454501549773877,0.15517604291097273,0.22999748510164295,0.25337495220844336,0.40930457671629045,-0.00808591617184501,0.1464553424660602,0.18550940991110393,-0.047515859513277796,0.20983216050439887
Which picture best describes the relationship between Pepper and your country? ,-0.12270844052742676,1.0,0.8407363510403106,0.6295716902295243,0.5747154299763455,0.36970554105215003,0.39881364236912215,0.48684445364692613,0.32333560826742513,0.370900009344936,0.9422487727793051,0.5727361674298012
Which picture best describes the relationship between Pepper and your national culture? ,-0.15454501549773877,0.8407363510403106,1.0,0.4695097657139787,0.5496544117636895,0.3459927275352019,0.33629137574517787,0.4450710843588795,0.23618938846184434,0.3142867048349917,0.8822505774168123,0.5052819298285297
Which picture best describes the relationship between Pepper and your own preferences? ,0.15517604291097273,0.6295716902295243,0.4695097657139787,1.0,0.6658318699651251,0.6000107939045048,0.5209418998089582,0.6617405967649518,0.4112480369673191,0.6214378875703025,0.798392637025846,0.7373553383871935
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.22999748510164295,0.5747154299763455,0.5496544117636895,0.6658318699651251,1.0,0.682914084851047,0.7055177358484904,0.6930407075624959,0.5747890193429539,0.7173983540313873,0.6819774154331091,0.8392274725197536
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.25337495220844336,0.36970554105215003,0.3459927275352019,0.6000107939045048,0.682914084851047,1.0,0.6297666343829044,0.6424938403618041,0.4487203555885054,0.6980299362612081,0.5006827400738896,0.8234238490842534
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.40930457671629045,0.39881364236912215,0.33629137574517787,0.5209418998089582,0.7055177358484904,0.6297666343829044,1.0,0.53451679747849,0.5793595106618569,0.7213193369198214,0.4781636752079717,0.8305336581244676
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.00808591617184501,0.48684445364692613,0.4450710843588795,0.6617405967649518,0.6930407075624959,0.6424938403618041,0.53451679747849,1.0,0.403303386678832,0.7328873482569029,0.6067432584294046,0.8153036275603818
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.1464553424660602,0.32333560826742513,0.23618938846184434,0.4112480369673191,0.5747890193429539,0.4487203555885054,0.5793595106618569,0.403303386678832,1.0,0.7348789230205751,0.36946072132912217,0.7314481489238539
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.18550940991110393,0.370900009344936,0.3142867048349917,0.6214378875703025,0.7173983540313873,0.6980299362612081,0.7213193369198214,0.7328873482569029,0.7348789230205751,1.0,0.49705163363001176,0.9158568675117064
mean_cultural_closeness,-0.047515859513277796,0.9422487727793051,0.8822505774168123,0.798392637025846,0.6819774154331091,0.5006827400738896,0.4781636752079717,0.6067432584294046,0.36946072132912217,0.49705163363001176,1.0,0.6912036689785472
mean_competence,0.20983216050439887,0.5727361674298012,0.5052819298285297,0.7373553383871935,0.8392274725197536,0.8234238490842534,0.8305336581244676,0.8153036275603818,0.7314481489238539,0.9158568675117064,0.6912036689785472,1.0
