,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8163670091454411,0.8058089495910965,0.6346055379751695,0.4933496093664732,0.3574532812406995,0.5199546218740295,0.5190381331860547,0.4345307797670849,0.9399257923993524,0.6222432177134062
Which picture best describes the relationship between Pepper and your national culture? ,0.8163670091454411,1.0,0.7808519912323872,0.5681991936489226,0.3002406815028946,0.4074961030401299,0.5170007238369373,0.4199927875854382,0.40483891377514997,0.9262237299712308,0.5631172581750825
Which picture best describes the relationship between Pepper and your own preferences? ,0.8058089495910965,0.7808519912323872,1.0,0.6813798652473703,0.43312937921023065,0.5371539098061532,0.6331618808807403,0.6543094030103671,0.6776483182661447,0.9276682984904385,0.7474656587638145
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.6346055379751695,0.5681991936489226,0.6813798652473703,1.0,0.7409523150937187,0.6823633344436238,0.7869090555523048,0.636581243346442,0.7370080117837727,0.6757813771247033,0.8504557645216346
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.4933496093664732,0.3002406815028946,0.43312937921023065,0.7409523150937187,1.0,0.6432961977336917,0.561118374814716,0.6237853528006768,0.6372717821226938,0.4417180269133305,0.7973795582264809
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.3574532812406995,0.4074961030401299,0.5371539098061532,0.6823633344436238,0.6432961977336917,1.0,0.5834812876753294,0.8001062488719857,0.7918958363535241,0.4665987302388367,0.8773231445083897
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.5199546218740295,0.5170007238369373,0.6331618808807403,0.7869090555523048,0.561118374814716,0.5834812876753294,1.0,0.5975277898647606,0.761561106284405,0.5986519176306646,0.8151224219263301
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.5190381331860547,0.4199927875854382,0.6543094030103671,0.636581243346442,0.6237853528006768,0.8001062488719857,0.5975277898647606,1.0,0.7660023792927191,0.572922282318386,0.879589651147039
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.4345307797670849,0.40483891377514997,0.6776483182661447,0.7370080117837727,0.6372717821226938,0.7918958363535241,0.761561106284405,0.7660023792927191,1.0,0.5453188526674253,0.9082976224802868
mean_cultural_closeness,0.9399257923993524,0.9262237299712308,0.9276682984904385,0.6757813771247033,0.4417180269133305,0.4665987302388367,0.5986519176306646,0.572922282318386,0.5453188526674253,1.0,0.6936868873446794
mean_competence,0.6222432177134062,0.5631172581750825,0.7474656587638145,0.8504557645216346,0.7973795582264809,0.8773231445083897,0.8151224219263301,0.879589651147039,0.9082976224802868,0.6936868873446794,1.0
