,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,33.0,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
unique,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,1.0,,5.545454545454546,6.848484848484849,5.818181818181818,3.242424242424242,3.6666666666666665,2.727272727272727,3.4545454545454546,3.303030303030303,4.151515151515151,2.4545454545454546,3.878787878787879,2.6363636363636362,3.878787878787879,0.7303030303030302,0.706060606060606,0.6272727272727272,0.7696969696969698,0.6363636363636364,0.8181818181818181,0.7515151515151516,0.7606060606060606,0.6363636363636365,0.7151515151515152,0.46060606060606063,0.7727272727272727,0.709090909090909,0.2909090909090909,5.303030303030303,3.088181818181818,-1.2121212121212122,-1.1515151515151516,-0.8181818181818182,0.5757575757575758,-3.421212121212121,1.2079028925619835
std,0.0,,1.3939805659268776,0.3641095406272095,1.0739688500646054,1.1734112405264998,1.0801234497346435,1.3055824196677337,1.2522706649050828,1.1854547778397244,0.7550336135403228,0.8325754129097365,0.7809279639304031,1.294656851693283,0.9923953268977463,0.13106498503807304,0.1367922556730505,0.17901244243195652,0.17044949487467043,0.21911495530055367,0.15300029708824395,0.15231794896123563,0.18864549083431922,0.2956118462382109,0.14168894655461864,0.19355133999050797,0.15466238891680986,0.1809068067466582,0.20518838350957574,0.5612711043027714,0.2762975586375872,1.4525317500311257,1.697814995096862,2.2424114454999313,1.7505410419050274,0.760245674008399,0.08035969488226131
min,1.0,,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.3,0.3,0.1,0.4,0.1,0.4,0.3,0.3,0.0,0.3,0.1,0.4,0.2,0.0,4.0,2.59,-4.0,-4.0,-4.0,-2.0,-4.5,1.0145833333333332
25%,1.0,,5.0,7.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,0.7,0.6,0.6,0.7,0.5,0.8,0.7,0.7,0.5,0.6,0.3,0.7,0.6,0.1,4.666666666666667,2.88,-2.0,-3.0,-2.0,0.0,-4.2,1.159280303030303
50%,1.0,,6.0,7.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.5,0.8,0.8,0.3,5.333333333333333,3.08,-2.0,-1.0,-1.0,0.0,-3.3,1.2087752525252524
75%,1.0,,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,0.8,0.8,0.7,0.9,0.7,0.9,0.9,0.9,0.9,0.8,0.6,0.9,0.8,0.4,5.666666666666667,3.2700000000000005,0.0,0.0,0.0,1.0,-3.2,1.2563762626262627
